,stop_name,number_of_distinct_route_ids
1651,Novo Naselje /Rušanj/,4
1652,Ilije Miličevića,4
1653,Ilije Miličevića,4
1654,Oslobođenja,4
352,Dušanovac /Pošta/,4
144,Voždovac,4
2433,Novo Naselje,4
187,Šumice,4
271,Hotel Jugoslavija,4
1739,Put Za Jakovo,4
1740,Put Za Jakovo,4
694,Kneza Višeslava,4
693,Kneza Višeslava,4
2224,Železnička Stanica Novi Beograd,4
690,Ace Joksimovića,4
191,Konjarnik,4
2227,Nikole Doksata,4
2262,Omladinskih Brigada 1,4
2145,Kumodraž,4
1756,Braće Suzić,4
1757,Braće Suzić,4
673,Milivoja Perovića,4
672,Bulevar Umetnosti,4
671,Palata Pravde,4
401,Bulevar Umetnosti,4
194,Peđe Milosavljevića,4
2404,Savska Terasa,4
1758,Surčin /Izlaz/,4
1759,Surčin /Izlaz/,4
1760,Surčinska Petlja,4
408,Darvinova,4
1738,Rimski Kanal,4
692,Ratka Mitrovića,4
1881,Naselje Belvil,4
182,Škola Vojislav Ilić,4
356,Južni Bulevar,4
185,Rimska,4
281,Prilaz,4
2418,Miljakovac 1 – Okretnica,4
2211,Bosutska,4
2212,Bosutska,4
276,Karađorđev Trg,4
273,Džona Kenedija,4
272,Hotel Jugoslavija,4
1737,Rimski Kanal,4
707,Šumice - Okretnica,4
2263,Bulevar Umetnosti,3
2060,Šest Kaplara,3
3012,Beograd Na Vodi,3
2117,Beli Potok /Centar/,3
1926,Železnik R,3
2116,Oš Vasa Čarapić,3
2115,Oš Vasa Čarapić,3
2100,Kosovopoljska,3
1908,Višnjica,3
1250,Naselje Tovilište 1,3
2056,Dorćol /Dunavska/,3
2058,Despota Đurđa,3
2352,Servisi,3
2036,Ritopek,3
1875,Kvantaška Pijaca,3
2169,Svete Milutinovića,3
3082,Slavka Rodića,3
3046,Trg Slavija /Tiršova/,3
2328,Kvantaška Pijaca,3
2144,Kumodraž,3
1328,Amd Grocka,3
1931,Narodnih Heroja,3
1933,Narodnih Heroja,3
1342,Gorica,3
1952,Put Za Milovanoviće,3
2198,Naselje Okrajak,3
2222,Put Za Novi Sad,3
2264,Bulevar Umetnosti,3
2196,Dobanovačka Petlja,3
2223,Put Za Novi Sad,3
3026,Savski Most,3
2147,Depo Sava,3
2149,Garaža Novi Beograd,3
2254,Gučevska,3
2174,Radnih Akcija,3
1951,Put Za Milovanoviće,3
1950,Železnička Stanica Ripanj,3
2170,Svete Milutinovića,3
1949,Železnička Stanica Ripanj,3
1948,Kolonija,3
1947,Kolonija,3
1941,Pedagoška Akademija,3
1327,Amd Grocka,3
1939,Crkva Svetog Dimitrija,3
1940,Pedagoška Akademija,3
2766,Jakovo (Ulaz),3
1862,Bela Reka,3
1550,Voždovac-Okretnica,3
1741,Silosi,3
1583,Put Za Beli Potok,3
1584,Put Za Beli Potok,3
1585,Beli Potok /Ulaz/,3
1586,Beli Potok /Ulaz/,3
1587,Beli Potok /Centar/,3
1588,Oš Vojvoda Putnik,3
1589,Minel 3,3
1590,Minel 3,3
1591,Minel 2,3
1732,Naselje Česma,3
2438,Novogradska,3
2439,Novogradska,3
2456,Novo Bežanijsko Groblje,3
2457,Novo Bežanijsko Groblje,3
2783,Batajnica,3
2803,Mz Resnik,3
2408,Fk Banja,3
1750,Mz Jakovo,3
2839,Timočki Put (Ulaz),3
2818,Gučevska,3
2817,Železnička Stanica Beograd Centar,3
2814,Boleč (Groblje),3
1,Tadeuša Košćuška,3
2407,Fk Banja,3
2813,Boleč (Groblje),3
1742,Silosi,3
1748,Sestara Krstonošić,3
1747,Sestara Krstonošić,3
1746,Sremska,3
1745,Sremska,3
1744,Servisi,3
1743,Servisi,3
2474,Batutova,3
2485,Naselje Radiofar,3
2513,Topčiderski Park,3
1628,Sremčica (Centar),3
1624,Šumske Ekonomije,3
1668,Boleč /Crkva/,3
1667,Boleč /Crkva/,3
1650,Novo Naselje /Rušanj/,3
1644,Banjica 2,3
1626,Obrenovačka,3
1630,Jeličićev Venac,3
1695,Stevana Lukovića,3
1632,Tomaška,3
1634,Tesarska,3
1636,Mirkovićeva,3
1638,Vašarska,3
1640,Sremčica /Izlaz/,3
2765,Ortopedski Zavod,3
1684,Španskih Boraca,3
1696,Stevana Lukovića,3
2520,Oš Vojvoda Putnik,3
1704,17. Oktobra,3
1604,Minel 2,3
2521,Hajdučki Potok,3
2522,Hajdučki Potok,3
2526,Pukovnika Petra Mišića,3
2671,Miljakovačke Staze,3
1706,Sretena Mladenovića,3
1703,17. Oktobra,3
1697,Stojana Jankovića,3
1702,Oš 14. Oktobar,3
1701,Oš 14. Oktobar,3
1700,Slavka Rodića,3
1618,Sare Bernar,3
1699,Slavka Rodića,3
1698,Stojana Jankovića,3
2840,Timočki Put (Ulaz),3
1548,Kaluđerica,3
1861,Naselje Česma,3
1248,Pk Beograd,3
1431,Vase Čarapića,3
1432,Vase Čarapića,3
1433,Šumadijska,3
1434,Šumadijska,3
1435,Grocka,3
1436,Ja,3
1469,Svetosavska,3
1471,Mali Lug,3
1473,Prokop,3
1475,Kralja Petra Prvog,3
1477,Duboko,3
1479,Ritopek /Ulaz/,3
1481,Ritopek /Škola/,3
1482,Ritopek /Centar/,3
1483,Prvog Maja,3
1430,Gročica,3
1429,Gročica,3
1428,Careva Glavica,3
1421,Put Za Zaklopaču,3
1853,Dalmatinskih Brigada,3
1851,Drage Mihajlovića,3
1847,Kej Oslobođenja,3
1840,Posavska,3
1838,Franje Krča,3
1836,Vrtić Bubamara,3
1422,Put Za Zaklopaču,3
1814,Put Za Soko Salaš,3
1423,Usek,3
1424,Usek,3
1834,Braće Krnješevac,3
1425,Suva Česma,3
1426,Suva Česma,3
1427,Careva Glavica,3
1484,Prvog Maja,3
1485,Boleč /Centar/,3
1486,Boleč /Centar/,3
1536,Kopaonička,3
1528,Vizantijska ,3
1789,Kej Oslobođenja,3
1529,Vml,3
1534,Dom Zdravlja,3
1780,Partizanska 1,3
1535,Dom Zdravlja,3
1537,Kopaonička,3
1526,Mz Vml,3
1538,Stepe Stepanovića,3
1539,Stepe Stepanovića,3
1540,Željka Milivojevića,3
1541,Željka Milivojevića,3
1542,Radisava Ignjatovića,3
2399,Partizanska 2,3
1805,Bežanijska Kosa,3
1525,Mz Vml,3
1487,Virska,3
1494,Elektrodistribucija,3
1488,Virska,3
1489,Boleč,3
1490,Ustanička,3
1491,Skladište Boja,3
1492,Skladište Boja,3
1493,Elektrodistribucija,3
1495,Stari Put Za Boleč,3
1524,Lipovačka,3
1496,Stari Put Za Boleč,3
1811,Ikarbus,3
2767,Jakovo (Ulaz),3
1809,Grmeč,3
1807,Zmaj,3
1806,Bežanijska Kosa,3
1705,Sretena Mladenovića,3
0,Kalemegdan (Donji Grad),3
1247,Pk Beograd,3
1103,Blok 44,3
1075,Jurija Gagarina,3
1074,Jurija Gagarina,3
1073,Blok 70a,3
1072,Blok 70a,3
184,Rimska,3
799,Železnička Stanica Dunav,3
447,Bulevar Kralja Aleksandra,3
445,Mite Ružića,3
203,Beogradska Arena /Španskih Boraca/,3
807,Blok 25,3
840,Servis Dmb,3
841,Servis Dmb,3
842,Manastir Rakovica,3
843,Manastir Rakovica,3
844,Josipa Telarevića (Izlaz),3
845,Josipa Telarevića (Izlaz),3
232,Glavna Pošta,3
1064,Milutina Milankovića,3
407,Meštrovićeva,3
233,Glavna Pošta,3
406,Meštrovićeva,3
405,Jovana Bijelića,3
404,Jovana Bijelića,3
1085,Strugarska,3
1104,Blok 44,3
1052,Omladinski Stadion /Ulaz/,3
1105,Dom Zdravlja Blok 44,3
1193,Nova Galenika,3
1192,Mihajla Vukše,3
776,Rada Končara /Dom Zdravlja/,3
777,Oš Petar Kočić,3
139,Banjica,3
140,Banjica,3
141,Vračarska,3
142,Vračarska,3
509,Bebelova,3
785,Vidikovac,3
508,Bebelova,3
1191,Mihajla Vukše,3
1190,Galenika (Kapija),3
1189,Galenika ,3
1188,Galenika ,3
495,Dorćol /Src Milan Gale Muškatirović/,3
149,Kneza Višeslava,3
1167,Pukovnika Petra Mišića,3
1162,Zrenjaninski Put,3
175,Vojvode Dragomira,3
1147,Nikole Dobrovića,3
1139,Batajnica /Železnička Rampa/,3
1106,Dom Zdravlja Blok 44,3
871,Železnik R,3
1050,Narodnih Heroja,3
1220,Blok 61,3
366,Omladinskih Brigada,3
365,Omladinskih Brigada,3
291,Vojni Put,3
292,Vojni Put,3
293,Branko Plećaš,3
294,Branko Plećaš,3
966,Stevana Đurđevića,3
965,Čukarička Padina,3
297,Beogradska Arena /Španskih Boraca/,3
963,Valjevska,3
962,Valjevska,3
961,Vodovodska,3
960,Vodovodska,3
957,Mz Novi Železnik,3
956,Mz Novi Železnik,3
1246,Frikom,3
362,Mostar,3
361,Mostar,3
354,Dom Zdravlja Voždovac,3
940,Bele Vode,3
938,Ateks,3
936,Kontaktor,3
934,Inos,3
350,Grčića Milenka,3
921,Ivo Lola Ribar,3
995,Julino Brdo,3
1040,Braće Ribnikar,3
996,Julino Brdo,3
1039,Braće Ribnikar,3
1038,Toplička,3
1037,Veljka Dugoševića,3
1036,Veljka Dugoševića,3
395,Zaplanjska,3
394,Zaplanjska,3
243,Stadion Partizan,3
244,Stadion Partizan,3
256,Železnička Stanica Beograd Centar,3
261,Banjica 2,3
605,Južni Bulevar,3
265,Ušće,3
266,Ušće,3
1010,Staro Sajmište,3
274,Džona Kenedija,3
287,Rada Končara,3
289,Prvomajska,3
290,Prvomajska,3
1001,Železnička Stanica Bgd Centar,3
1000,Bele Vode,3
999,Bele Vode,3
998,Ilije Đuričića,3
997,Ilije Đuričića,3
775,Rada Končara /Dom Zdravlja/,3
1145,Stojana Aralice,3
1223,Pilota Mihajla Petrovića,3
1226,Blok 63,3
637,Lovačka,3
638,Višnjica,3
660,Kumodraž 1,3
661,Sp Lasta,3
50,"Vmc ""Karaburma""",3
52,Gradska Bolnica,3
556,Peke Pavlovića,3
78,Pravni Fakultet,3
555,Peke Pavlovića,3
554,Miška Jovanovića,3
553,Miška Jovanovića,3
546,Kumodraž 2,3
545,Kumodraž 2,3
544,Junska,3
543,Junska,3
542,Put Za Kumodraško Groblje,3
541,Put Za Kumodraško Groblje,3
703,Ulica Oslobođenja ,3
704,Ulica Oslobođenja ,3
540,Dušana Jovanovića ,3
539,Dušana Jovanovića ,3
538,Preduzeće Petar Velebit,3
83,Rk Beograđanka,3
537,Preduzeće Petar Velebit,3
536,Preduzeće Izolacija,3
636,Lovačka,3
635,Despotovačka,3
634,Despotovačka,3
1228,Blok 62,3
1245,Frikom,3
1244,Put Za Jabučki Rit,3
1243,Put Za Jabučki Rit,3
1241,Put Za Kovilovo,3
2,Tadeuša Košćuška,3
595,Mirijevo 2,3
1235,Save Mrkalja,3
1233,Drinske Divizije,3
594,Mirijevo 2,3
1230,Mz Blok 61,3
1229,Mz Blok 61,3
570,Milutina Milankovića,3
633,Višnjička Banja,3
568,Naselje Braće Jerković,3
606,Stratimirovićeva,3
607,Go Voždovac,3
608,Dušanovac /Pošta/,3
567,Naselje Braće Jerković,3
618,Dom Zdravlja Voždovac,3
619,Vukov Spomenik,3
628,Rospi Ćuprija,3
630,Marina,3
631,Marina,3
632,Višnjička Banja,3
1227,Blok 62,3
348,Hotel Srbija,3
533,Voždovački Kružni Put,3
120,Franše Deperea,3
735,Blok 25,3
534,Voždovački Kružni Put,3
1225,Blok 63,3
1224,Pilota Mihajla Petrovića,3
121,Zvečanska,3
138,Voždovac,3
124,"Vmc ""Karaburma""",3
131,Servisi,3
535,Preduzeće Izolacija,3
119,Franše Deperea,3
2128,Agro-Koka,2
2134,Pekara,2
2135,Pekara,2
2136,Bolja,2
1827,Šangajska,2
1946,Čaršija,2
2137,Nicu Rada,2
2126,Mesara,2
1826,Šangajska,2
393,Vojislava Ilića,2
2140,Franje Krča,2
1945,Čaršija,2
2141,Trafostanica,2
2127,Mesara,2
560,Centralno Groblje,2
2124,Bitoljska,2
2122,Beli Potok,2
396,Naselje Braće Jerković,2
1954,Rašin Majdan,2
1953,Rašin Majdan,2
470,Kirovljeva,2
494,Vidikovac,2
557,Ignjata Joba,2
558,Ignjata Joba,2
2118,Braće Jakovljević,2
2119,Braće Jakovljević,2
2120,Glumačka,2
2121,Glumačka,2
559,Centralno Groblje,2
1944,Sanatorijum,2
1830,Zeleni Venac,2
1896,Stevana Simića,2
392,Vojislava Ilića,2
1967,Đure Gajića,2
1943,Sanatorijum,2
529,Husova,2
1906,Umka-Centar,2
1928,Ostružnica 2,2
2153,Sremčica /Ulaz/,2
2154,Sremčica /Naselje Gorica/,2
1927,Pećani,2
1925,Železnik /Savska/,2
1921,Bbp Makiš,2
530,Husova,2
1909,Filipa Višnjića,2
1910,Filipa Višnjića,2
1911,Surčin,2
1920,Bbp Makiš,2
351,Dušanovac /Pošta/,2
1913,Ostružnica 1,2
513,Karaburma 2,2
1934,Efeska,2
1897,Stevana Simića,2
2146,Strahinje Petrovića,2
2109,Mz Ostružnica,2
532,Pive Karamatijevića,2
1937,Ulaz U Bečmen,2
1936,Ulaz U Bečmen,2
1935,Efeska,2
531,Pive Karamatijevića,2
1823,Busije,2
566,Dragice Končar,2
561,Jovana Bijelića,2
2148,Železnička Stanica Zemun Polje,2
562,Jovana Bijelića,2
563,Dragice Končar 1,2
564,Dragice Končar 1,2
565,Dragice Končar,2
2110,Mz Ostružnica,2
397,Naselje Braće Jerković,2
2108,Srpska Kruna,2
2038,Neoplanta,2
468,Ada Ciganlija,2
2024,Stari Vinogradi,2
2026,Buljubašine Vode,2
2028,Veliki Mokri Lug,2
455,Dr Velizara Kosanovića,2
1964,Brđani /Škola/,2
2037,Ritopek /Centar/,2
2039,Neoplanta,2
441,16. Oktobra,2
2040,Brodotehnika,2
2041,Brodotehnika,2
1877,Put Za Železnik,2
1963,Brđani /Škola/,2
2052,Žs Pančevački Most,2
443,Vitezova Karađorđeve Zvezde,2
442,Vitezova Karađorđeve Zvezde,2
1980,Šumareva Kuća,2
1965,Ripanj /Brđani/,2
1979,Šumareva Kuća,2
1978,Glumčevo Brdo,2
1886,Kosmajska,2
1885,Kosmajska,2
1884,Njegoševa,2
1968,Draženovac 1,2
1969,Draženovac 1,2
1970,Draženovac 2,2
1971,Draženovac 2,2
1972,Draženovac 3,2
1973,Draženovac 3,2
1966,Ripanj /Brđani/,2
1974,Draženovac,2
1975,Draženovac,2
1883,Kotež,2
2161,Cerak Vinogradi,2
1977,Glumčevo Brdo /Gorčinac/,2
1962,Put Za Žuti Breg,2
1961,Put Za Žuti Breg,2
2107,Srpska Kruna,2
2094,Vojvođanski Salaši,2
2082,Naselje Vinogradi,2
1958,Ripanj /Centar/,2
1957,Ripanj /Centar/,2
403,Sc Sport Eko,2
547,Studentski Trg,2
402,Sc Sport Eko,2
2093,Vojvođanski Salaši,2
2095,Ovča /Izlaz/,2
440,16. Oktobra,2
2096,Ovča /Izlaz/,2
1956,Ripanj /Brdo/,2
400,Beogradska Arena,2
1955,Ripanj /Brdo/,2
399,Braće Jerković (Mitrovo Brdo),2
398,Braće Jerković (Mitrovo Brdo),2
1888,V. Moštanica /Centar/,2
1852,Drage Mihajlovića,2
2081,Naselje Vinogradi,2
1959,Brđani /Simići/,2
1854,Dalmatinskih Brigada,2
1960,Brđani /Simići/,2
439,Branka Ćopića,2
1860,Železnik /Savska/,2
438,Branka Ćopića,2
1859,Besni Fok,2
2061,Kosmajska,2
1858,Besni Fok,2
1912,Surčin,2
1891,Dobrivoja Jovanovića,2
424,Ix Beogradska Gimnazija,2
1855,Batajnica,2
423,Ix Beogradska Gimnazija,2
418,Trg Oslobođenja,2
417,Prešernova,2
416,Prešernova,2
2069,Cerak Vinogradi,2
2229,Milana Rakića,2
342,Beogradska Arena,2
2756,Pupin Telekom,2
2664,Put Za Novi Sad,2
2674,Trg Oslobođenja,2
2676,Kineski Tržni Centar,2
2712,Miljakovačko Brdo,2
2713,Sunčani Breg 1,2
2714,Sunčani Breg 2,2
2726,Mihajla Bandura,2
2727,Mihajla Bandura,2
2750,Ristin Potok,2
2752,Vinjage,2
2755,Pupin Telekom,2
2764,Šest Kaplara,2
2662,Zemun Park,2
2768,Veliko Selo (Ulaz),2
2769,Veliko Selo (Ulaz),2
2775,Mihaila Petrovića,2
94,Milutina Milankovića,2
2784,Mihaila Petrovića,2
93,Milutina Milankovića,2
85,Staro Sajmište,2
82,Rk Beograđanka,2
81,Tašmajdan,2
2820,Toplice Milana,2
2829,Edvarada Griga (Ulaz),2
2663,Zemun Park,2
2658,Jat Tehnika,2
2475,Borisa Kidriča,2
2497,Pogon Karaburma,2
2486,Vitezova Karađorđeve Zvezde,2
2487,Vitezova Karađorđeve Zvezde,2
2488,Ladne Vode,2
2489,Ladne Vode,2
2490,Šejkina,2
2491,Šejkina,2
2492,Pere Ćetkovića,2
2493,Pere Ćetkovića,2
2494,Marijane Gregoran,2
2495,Marijane Gregoran,2
2496,Pogon Karaburma,2
2503,Resnik (Edvarda Griga),2
2657,Jat Tehnika,2
147,Hipodrom,2
2514,Topčiderski Park,2
146,Hipodrom,2
2527,Mz Velika Moštanica,2
2528,Mz Velika Moštanica,2
2552,Mali Zabran,2
2556,Mirijevsko Brdo,2
2595,Bolnica Dragiša Mišović,2
2596,Bulevar Crvene Armije,2
2600,Crkva Sv. Atanasija Velikog,2
2601,Crkva Sv. Atanasija Velikog,2
2831,Zdravstvena Stanica Resnik,2
2832,Zdravstvena Stanica Resnik,2
2833,Resnik (Edvarda Griga),2
5,Pristanište,2
14,Mostar,2
13,Mostar,2
12,Palata Pravde,2
11,Palata Pravde,2
10,Ekonomski Fakultet,2
3069,"Vrtić ""Oaza""",2
3070,"Vrtić ""Oaza""",2
8,Brankov Most,2
7,Brankov Most,2
6,Pristanište,2
3088,Novi Železnik 1,2
3090,Novi Železnik 1,2
2837,"Dom Zdravlja ""Labudovo Brdo""",2
3092,Bas,2
3093,Batajnica /Šangajska/,2
4,Kalemegdan,2
3,Kalemegdan,2
3100,Emila Zatopeka 1,2
3101,Emila Zatopeka 1,2
3102,Dijega Rivera 1,2
3103,Konstantina Kavafija 1,2
3104,Episkopa Sergeja,2
3105,Konstantina Kavafija 1,2
3107,Peđe Milosavljevića 1,2
15,Sajam,2
3013,Beograd Na Vodi,2
16,Sajam,2
17,Ruska,2
2838,"Dom Zdravlja ""Labudovo Brdo""",2
80,Tašmajdan,2
79,Banovo Brdo Ok,2
2865,Sunčani Breg 2,2
2866,Sunčani Breg 1,2
2867,Mali Zabran,2
2868,Miljakovačko Brdo,2
2886,Pružni Prelaz,2
2887,Pružni Prelaz,2
2931,Petlja Radnička,2
2933,Đorđa Stanojevića,2
2934,Đorđa Stanojevića,2
2935,Petlja Radnička,2
2936,Petlja Radnička,2
2939,Groblje,2
37,Trg Slavija /Nemanjina/,2
2978,Vii Beogradska Gimnazija,2
2979,Vii Beogradska Gimnazija,2
36,Trg Slavija /Nemanjina/,2
29,Bežanijska Kosa /Grčka/,2
20,Gospodarska Mehana,2
19,Gospodarska Mehana,2
18,Ruska,2
2476,Borisa Kidriča,2
158,Banovo Brdo,2
2173,Radnih Akcija,2
2303,Toplana 1,2
2277,Lipovački Put 4 Deo,2
2278,Lipovački Put 4 Deo,2
2279,Stara Lipovica,2
2280,Stara Lipovica,2
2281,Prvomajska,2
2282,Prvomajska,2
2283,Trebež,2
2298,Oštreljska,2
2299,Oštreljska,2
2300,Mirijevo,2
2301,Zelengora,2
2304,Toplana,2
2275,Drenjak,2
2305,Zelengora,2
241,Muzej Jugoslavije,2
239,Železnička Stanica Beograd Centar,2
2308,Železnički Nadvožnjak,2
2309,Železnički Nadvožnjak,2
2314,Milovana Čelebića,2
2315,Jovana Mikića,2
2316,Jovana Mikića,2
2341,Prnjavor /Škola/,2
2343,Trešnja,2
2344,Trešnja,2
2276,Drenjak,2
2269,Strahinje Petrović,2
2473,Železnička Tehnička Stanica 1,2
269,Palata Srbija,2
2186,Popova Bara,2
2187,Popova Bara,2
2188,Orlovača /Ulaz/,2
2191,Glumčevo Brdo 1,2
298,Antifašističke Borbe,2
2202,Orlovača Groblje,2
2203,Put Za Brest,2
2204,Put Za Brest,2
2205,Put Za Lukiće,2
2206,Put Za Lukiće,2
270,Palata Srbija,2
268,Milentija Popovića,2
2268,Trafostanica,2
267,Milentija Popovića,2
2228,Milana Rakića,2
2230,Batajnica /Železnička Stanica/,2
262,Zeleni Venac,2
2239,Kružni Put,2
2244,Glavni Poštanski Centar,2
2245,Ratarski Put,2
2246,Ugrinovački Put,2
2248,Juga Grizelja,2
2250,Glavni Poštanski Centar,2
242,Muzej Jugoslavije,2
2345,Avalski Cvet,2
2346,Avalski Cvet,2
2349,Trebež,2
2449,Ratarski Put,2
2410,Konstantina Kavafija,2
2411,Dijega Rivere,2
2412,Altina 1,2
183,Škola Vojislav Ilić,2
181,Velimira Todorovića,2
180,Velimira Todorovića,2
179,Bregalnička,2
178,Bregalnička,2
2446,Ljiljane Krstić,2
2447,Juga Grizelja,2
2448,Ugrinovački Put,2
2452,Bačka,2
2353,Teodora Drajzera,2
2453,Bačka,2
2454,Banatska,2
2455,Banatska,2
177,Crveni Krst,2
176,Crveni Krst,2
2458,Koste Brankovića,2
174,Vojvode Dragomira,2
2469,Episkopa Nikolaja,2
160,Omladinskih Brigada 1,2
159,Park Tašmajdan,2
2472,Železnička Tehnička Stanica 1,2
2409,Kortesarova,2
192,Rimska,2
195,Dr Velizara Kosanovića,2
2402,Dr Đorđa Šulce,2
2360,Teodora Drajzera,2
2361,Mirijevsko Brdo,2
2362,Koste Brankovića ,2
2365,Novosadski Put,2
2366,Novosadski Put,2
2367,Železnička Tehnička Stanica,2
2368,Železnička Tehnička Stanica,2
2369,Milana Nedeljkovića,2
2370,Milana Nedeljkovića,2
2371,Koste Cukića,2
2372,Koste Cukića,2
2373,Koste Alkovića,2
2374,Koste Alkovića,2
2376,Iv Beogradska Gimnazija,2
2377,Teodora Drajzera 2,2
2378,Teodora Drajzera 2,2
2379,Iv Beogradska Gimnazija,2
2383,Kralja Uroša,2
2384,Stevana Dubajića,2
2385,Braće Radišić,2
2386,Mirijevo,2
2397,Slavka Rodića,2
2401,Dr Đorđa Šulce,2
597,Omladinski Stadion,2
2189,Orlovača /Izlaz/,2
1681,Atanasija Pulje,2
1290,Mirgorodska,2
1092,Kbc Bežanijska Kosa,2
1102,Ledine,2
952,Železnik (Zlatanovići),2
1293,Atovi,2
1292,Atovi,2
1291,Mirgorodska,2
1289,Branislava Cige Jerinića,2
1474,Kralja Petra Prvog,2
1288,Branislava Cige Jerinića,2
1287,Put Za Ovču,2
1286,Put Za Ovču,2
953,Železnik (Zlatanovići),2
1152,Bežanijska Kosa /Groblje/,2
1154,Zelengorska,2
1063,Milutina Milankovića,2
1472,Prokop,2
1662,Drage Vukićević,2
923,Ostružnica 2,2
1576,Mz Pinosava,2
1657,Mz Rušanj,2
1340,Železnička Stanica Rakovica,2
1658,Like Ružića,2
1468,Svetosavska,2
1659,Like Ružića,2
924,Pećani,2
1065,Blok 24,2
1660,13. Septembar,2
1295,Ovča /Ulaz/,2
1294,Ovča /Ulaz/,2
1066,Blok 24,2
1306,Put Za Železnik,2
1470,Mali Lug,2
1661,Drage Vukićević,2
1663,Oslobođenja 1,2
791,Đerdapska,2
1689,Nasipska Čuvarnica,2
794,Škola Vojislav Ilić,2
793,Škola Vojislav Ilić,2
1155,Zelengorska,2
1686,Preliv,2
1687,Preliv,2
1688,Nasipska Čuvarnica,2
1690,Japanski Cvet,2
899,Oš Đura Jakšić,2
1156,Kbc Bežanijska Kosa,2
1203,Milana Ajvaza,2
959,Novi Železnik,2
1691,Japanski Cvet,2
1157,Bežanijska Kosa,2
964,Narodnih Heroja,2
1682,Hala Aleksandar Nikolić,2
1680,Oš Petar Kočić,2
1664,Oslobođenja 1,2
1670,Olge Jovičić,2
954,Braće Mitrović ,2
1665,Oslobođenja 2,2
1666,Oslobođenja 2,2
955,Braće Mitrović ,2
1476,Duboko,2
1669,Orlovača Groblje,2
958,Novi Železnik,2
795,Zvezdara,2
1672,Milana Zečara,2
1673,Augusta Šenoe,2
1674,Augusta Šenoe,2
1675,Put Za Kotež,2
1676,Put Za Kotež,2
1205,Valjevskog Odreda,2
1577,Mz Pinosava,2
1578,Oš Vasa Čarapić,2
1579,Oš Vasa Čarapić,2
1621,Sremčica /Ulaz/,2
881,Belo Vrelo,2
880,Crveno Barjače,2
879,Crveno Barjače,2
878,Zdravka Jovanovića,2
877,Zdravka Jovanovića,2
869,Trošarina,2
1623,Šumske Ekonomije,2
883,Bele Vode,2
1304,Ovča /Železnička Stanica/,2
1303,Železnicka Rampa,2
1302,Železnicka Rampa,2
1301,Ovča /Beogradska/,2
1625,Obrenovačka,2
1299,Žarka Zrenjanina,2
882,Belo Vrelo,2
884,Bele Vode,2
1580,Zadruga,2
1449,Ulica Revolucije,2
897,Vidikovac,2
1341,Železnička Stanica Rakovica,2
1451,Begaljica,2
892,Ostružnica 1,2
1450,Ulica Revolucije,2
890,Ljubice Ivošević,2
1448,Zelengora,2
887,Nedeljka Gvozdenovića,2
888,Šavnička,2
1607,Kongrap,2
1608,Kongrap,2
1447,Zelengora,2
1446,Begaljica /Ulaz/,2
1445,Begaljica /Ulaz/,2
1627,Sremčica (Centar),2
847,Tunel Straževica,2
1629,Jeličićev Venac,2
1582,Groblje,2
1439,Bosansko Naselje,2
1438,15. Maja,2
1296,Ovča /Centar/,2
1437,15. Maja,2
915,Avalska,2
916,Avalska,2
1581,Zadruga,2
1444,Vinogradi,2
804,27. Marta,2
803,27. Marta,2
802,Cvijićeva,2
801,Cvijićeva,2
800,Hala Aleksandar Nikolić,2
1656,Mz Rušanj,2
1440,Bosansko Naselje,2
805,Pravni Fakultet,2
914,Novo Naselje,2
1441,Begaljički Most,2
1641,Sremčica,2
1639,Sremčica /Izlaz/,2
1637,Vašarska,2
1635,Mirkovićeva,2
913,Novo Naselje,2
1442,Begaljički Most,2
1443,Vinogradi,2
912,Dorćol /Src Milan Gale Muškatirović/,2
1297,Ovča /Centar/,2
1633,Tesarska,2
1298,V. Moštanica /Centar/,2
1631,Tomaška,2
846,Tunel Straževica,2
792,Đerdapska,2
898,Kanarevo Brdo /Dom Zdravlja/,2
968,Zeleni Venac,2
705,Kralja Radoslava,2
1201,Mihajla Šolohova,2
1018,Novi Železnički Most,2
1017,Železnički Most Sava,2
1016,Železnički Most Sava,2
1751,Đorđa Radovića,2
1749,Mz Jakovo,2
1519,Narodnog Fronta,2
1048,Autoput,2
1049,Autoput,2
1369,Izvorska,2
1370,Izvorska,2
1371,Slanci /Škola/,2
1051,Blok 37,2
1372,Slanci /Škola/,2
1752,Đorđa Radovića,2
1373,Veterinarska Stanica,2
1374,Veterinarska Stanica,2
1521,Naselje Klenak,2
1522,Naselje Klenak,2
1523,Lipovačka,2
1375,Teslina,2
1376,Teslina,2
1015,Most Gazela,2
708,Pogon Kosmaj,2
1014,Most Gazela,2
1013,Slavka Šlandera,2
1012,Slavka Šlandera,2
1008,Njegoševa,2
1194,Zemun /Bačka/,2
1753,Oslobođenja,2
1480,Ritopek /Škola/,2
1047,Uprava Carine,2
1042,Robni Terminal,2
1044,Fontana,2
1025,Toplana,2
1795,Bečmen /Centar/,2
1794,Bečmen /Centar/,2
1024,Gp Rad,2
1793,Maksin Sokak,2
1792,Maksin Sokak,2
1023,Gp Rad,2
1791,Bečmen Naselje,2
1790,Bečmen Naselje,2
1045,Bulevar Zorana Đinđića,2
1046,Uprava Carine,2
1366,Lešće /Groblje/,2
1754,Oslobođenja,2
1367,Slanci /Ulaz/,2
1368,Slanci /Ulaz/,2
1021,Jrb,2
640,Agro-Koka,2
1365,Lešće /Ulaz/,2
