,route_short_name,stop_name,average_wait
13692,32E,Fk Banja,0:31:20
13693,32,Marina,0:09:51.282051
13696,32E,Marina,0:31:20
13697,311,Leštane (Ravan),0:09:51.932773
13700,39,Preduzeće Petar Velebit,0:09:54.495413
13701,25,Preduzeće Petar Velebit,0:10:58.285714
13704,25P,Preduzeće Petar Velebit,0:15:10.285714
13709,39,Junska,0:09:54.495413
13710,25,Junska,0:10:58.857143
13713,25P,Junska,0:15:09.428571
13718,39,Kumodraž 2,0:09:54.495413
13719,25,Kumodraž 2,0:10:58.857143
13722,25P,Kumodraž 2,0:15:09.428571
13727,39,Voždovački Kružni Put,0:09:54.495413
13728,25,Voždovački Kružni Put,0:10:57.714286
13731,25P,Voždovački Kružni Put,0:15:10.285714
13736,39,Bulevar Peka Dapčevića,0:09:54.495413
13739,39,Put Za Kumodraško Groblje,0:09:54.495413
13740,25,Put Za Kumodraško Groblje,0:10:58.285714
13743,25P,Put Za Kumodraško Groblje,0:15:09.428571
13748,39,Vatrosprem,0:09:54.495413
13751,39,Pukovnika Petra Mišića,0:09:54.495413
13752,25,Pukovnika Petra Mišića,0:10:58.285714
13755,25P,Pukovnika Petra Mišića,0:15:09.428571
13760,39,Dušana Jovanovića ,0:09:54.495413
13761,25,Dušana Jovanovića ,0:10:58.285714
13764,25P,Dušana Jovanovića ,0:15:10.285714
13769,39,Preduzeće Izolacija,0:09:54.495413
13770,25,Preduzeće Izolacija,0:10:58.285714
13773,25P,Preduzeće Izolacija,0:15:09.428571
13778,52,Vinogradski Venac,0:09:54.782609
13781,52,Vrtić Plava Ptica,0:09:54.782609
13784,52,Ljubice Ivošević,0:09:54.782609
13787,52,Bitoljska,0:09:54.782609
13790,52,Cerski Venac,0:09:54.782609
13793,52,Kosmajska,0:09:54.782609
13796,52,Cerak Vinogradi,0:09:54.782609
13799,534,Cerak Vinogradi,0:26:49.090909
13802,52,Šavnička,0:09:54.782609
13805,309L,Kaluđerica (Višnjićeva),0:10:00
13808,21A,Marčanska,0:10:00
13811,21A,Dr Velizara Kosanovića,0:10:00
13814,20,Dr Velizara Kosanovića,0:21:41.632653
13817,3A,Savski Trg,0:10:01.043478
13820,74,Magelanova,0:10:01.142857
13821,75,Magelanova,0:10:14.311927
13827,70,Magelanova,0:25:07.500000
13830,72,Magelanova,0:30:56.756757
13832,74,Marka Ristića,0:10:01.142857
13833,75,Marka Ristića,0:10:13.761468
13839,70,Marka Ristića,0:25:09
13842,72,Marka Ristića,0:30:56.756757
13844,74,Milana Vujaklije,0:10:01.142857
13845,75,Milana Vujaklije,0:10:14.311927
13851,70,Milana Vujaklije,0:25:09
13853,72,Milana Vujaklije,0:30:56.756757
13856,3A,Careva Ćuprija,0:10:02.608696
13859,3A,Železnička Stanica Topčider,0:10:02.608696
13862,21A,Trg Slavija,0:10:02.702703
13865,74,Ljubinke Bobić,0:10:02.830189
13866,75,Ljubinke Bobić,0:10:13.761468
13872,70,Ljubinke Bobić,0:25:09
13874,72,Ljubinke Bobić,0:30:56.756757
13877,74,Peđe Milosavljevića,0:10:02.830189
13878,75,Peđe Milosavljevića,0:10:13.761468
13884,70,Peđe Milosavljevića,0:25:09
13887,72,Peđe Milosavljevića,0:30:55.135135
13890,613,Peđe Milosavljevića,0:43:20
13892,74,Studentski Grad,0:10:02.830189
13893,75,Studentski Grad,0:10:12.660550
13896,77,Studentski Grad,0:13:50.526316
13901,708,Studentski Grad,0:23:45.652174
13905,612,Studentski Grad,0:47:30
13906,76,Studentski Grad,0:47:56.666667
13910,3A,Dom Garde,0:10:03.130435
13913,74,Narodnih Heroja,0:10:03.396226
13917,70,Narodnih Heroja,0:25:13.500000
13920,612,Narodnih Heroja,0:47:30
13922,74,Sc 11. April,0:10:03.396226
13923,75,Sc 11. April,0:10:13.211009
13928,708,Sc 11. April,0:23:45.652174
13929,76,Sc 11. April,0:24:35
13935,612,Sc 11. April,0:47:30
13937,74,Stojana Aralice,0:10:03.396226
13938,75,Stojana Aralice,0:10:13.211009
13943,708,Stojana Aralice,0:23:44.347826
13946,612,Stojana Aralice,0:47:30
13948,76,Stojana Aralice,0:47:56.666667
13952,74,Beogradska Arena,0:10:04.485981
13956,70,Beogradska Arena,0:25:15
13958,702L,Batajnica /Šangajska/,0:10:05.172414
13961,703L,Batajnica /Šangajska/,0:10:10.619469
13964,601,Tošin Bunar,0:10:06
13965,611,Tošin Bunar,0:14:18.947368
13970,711,Tošin Bunar,0:47:49.565217
13974,607,Tošin Bunar,1:31:52.500000
13976,3A,Topčiderska Okretnica,0:10:07.758621
13979,74,Park Tašmajdan,0:10:07.777778
13983,EKO1,Park Tašmajdan,0:24:01.363636
13985,3A,Patrijarha Pavla,0:10:08.275862
13988,3A,Košutnjak,0:10:08.793103
13991,EKO2,Kalemegdan,0:10:08.823529
13994,EKO2,Dorćol /Src Milan Gale Muškatirović/,0:10:08.823529
13997,24,Dorćol /Src Milan Gale Muškatirović/,0:13:43.170732
14000,EKO2,Studentski Trg,0:10:08.823529
14003,3A,Vareška,0:10:09.310345
14006,3A,Železnička Stanica Rakovica,0:10:09.310345
14009,42,Železnička Stanica Rakovica,0:12:52.941176
14012,3A,Miška Kranjca,0:10:09.310345
14015,3A,Železnička Stanica Rakovica,0:10:09.557522
14018,42,Železnička Stanica Rakovica,0:13:14.117647
14021,3A,Vareška,0:10:09.557522
14024,74,Šejkina,0:10:09.622642
14025,25P,Šejkina,0:14:49.315068
14030,74,Pere Ćetkovića,0:10:09.622642
14031,25P,Pere Ćetkovića,0:14:48.493151
14036,74,Vitezova Karađorđeve Zvezde,0:10:09.622642
14037,25P,Vitezova Karađorđeve Zvezde,0:14:49.315068
14042,74,Marijane Gregoran,0:10:09.622642
14043,25P,Marijane Gregoran,0:14:48.493151
14048,74,Mirijevsko Brdo,0:10:09.622642
14049,25P,Mirijevsko Brdo,0:14:48.493151
