,route_short_name,stop_name,average_wait
0,26,Dorćol /Dunavska/,0:02:35.454545
3,309,Kaluđerica,0:03:06.046512
6,16,Karaburma 2,0:03:12.291105
9,50,Banovo Brdo,0:03:15.953757
12,49,Banovo Brdo,0:07:18.297872
13,85,Banovo Brdo,0:08:37.272727
16,57,Banovo Brdo,0:10:08.823529
21,48,Miljakovac 3,0:03:29.627329
24,37,Kneževac,0:03:35.740741
25,3A,Kneževac,0:05:11.266376
30,507,Kneževac,0:17:39.677419
33,23,Karaburma 2,0:03:41.052632
36,27,Trg Republike,0:03:42.803738
39,88,Karađorđev Trg,0:03:46.600000
42,15,Karađorđev Trg,0:07:42.162162
44,84,Karađorđev Trg,0:08:02.097902
47,704,Karađorđev Trg,0:12:30.681818
49,707,Karađorđev Trg,0:15:40.563380
54,46,Mirijevo,0:03:47.450980
57,27E,Novi Beograd (Blok 20),0:03:59.136691
60,84,Nova Galenika,0:04:02.482759
63,612,Nova Galenika,0:23:45
66,15,Zemun /Novi Grad/,0:04:02.857143
68,45,Zemun /Novi Grad/,0:04:08.719723
72,78,Zemun /Novi Grad/,0:05:46.969697
75,17,Zemun /Gornji Grad/,0:04:04.505119
79,43,Trg Republike,0:04:14.779412
82,43,Kotež,0:04:24.575646
84,22L,Trg Republike,0:04:22.781955
87,31,Trg Republike,0:05:46.039604
88,41,Trg Republike,0:06:24.827586
93,28,Trg Republike,0:09:43.304348
94,EKO2,Trg Republike,0:10:11.067961
97,E9,Trg Republike,0:11:50.270270
100,22L,Terazije,0:04:22.781955
101,26,Terazije,0:05:07.837838
104,31,Terazije,0:05:46.039604
105,27,Terazije,0:07:24.076433
111,EKO2,Terazije,0:10:11.067961
112,E9,Terazije,0:11:50.270270
114,E2,Terazije,0:13:06.956522
118,22L,Studentski Trg,0:04:22.781955
121,41,Studentski Trg,0:06:24.482759
124,28,Studentski Trg,0:09:43.304348
127,E9,Studentski Trg,0:11:50.270270
128,22L,Trg Slavija,0:04:23.007519
131,31,Trg Slavija,0:05:46.733668
134,EKO2,Trg Slavija,0:10:11.650485
137,22L,Rk Beograđanka,0:04:23.007519
140,31,Rk Beograđanka,0:05:46.039604
143,EKO2,Rk Beograđanka,0:10:11.067961
144,E9,Rk Beograđanka,0:11:50.270270
147,22L,Trg Slavija,0:04:23.007519
150,31,Trg Slavija,0:05:46.039604
153,EKO2,Trg Slavija,0:10:11.650485
154,E9,Trg Slavija,0:11:50.270270
157,22L,Studentski Trg,0:04:25.168539
160,31,Studentski Trg,0:05:46.733668
163,EKO2,Studentski Trg,0:10:14.423077
164,E9,Studentski Trg,0:11:48.648649
167,22L,Trg Republike,0:04:25.393258
170,31,Trg Republike,0:05:46.733668
173,EKO2,Trg Republike,0:10:13.846154
174,E9,Trg Republike,0:11:48.648649
177,22L,Terazije,0:04:25.617978
180,31,Terazije,0:05:46.733668
183,EKO2,Terazije,0:10:14.423077
184,E9,Terazije,0:11:48.648649
187,22L,Rk Beograđanka,0:04:26.067416
190,31,Rk Beograđanka,0:05:46.733668
193,EKO2,Rk Beograđanka,0:10:11.650485
194,E9,Rk Beograđanka,0:11:48.648649
197,35,Lešće /Groblje/,0:04:27.490040
200,35L,Lešće /Groblje/,0:34:51
201,21A,Učiteljsko Naselje,0:04:57.321429
204,32,Vukov Spomenik,0:05:00
208,66,Vukov Spomenik,0:10:10
212,EKO1,Vukov Spomenik,0:24:05.454545
213,39,Birčaninova,0:05:01.395349
214,42,Birčaninova,0:06:38.245614
216,59,Birčaninova,0:07:30
218,47,Birčaninova,0:08:11.304348
220,30,Birčaninova,0:08:56.065574
228,402,Birčaninova,0:21:18.260870
229,401,Birčaninova,0:22:10.188679
234,26,Naselje Braće Jerković,0:05:06.697674
236,26L,Naselje Braće Jerković,0:08:28.474576
240,26,Jovana Bijelića,0:05:06.756757
243,26,Naselje Braće Jerković,0:05:06.756757
245,26L,Naselje Braće Jerković,0:08:27.731092
249,26,Dragice Končar 1,0:05:07.027027
252,26,Centralno Groblje,0:05:07.027027
255,26,Peke Pavlovića,0:05:07.027027
258,30,Peke Pavlovića,0:17:30.967742
261,26,Dragice Končar,0:05:07.027027
264,26,Dušanovac /Pošta/,0:05:07.027027
267,25,Dušanovac /Pošta/,0:11:06.285714
269,25P,Dušanovac /Pošta/,0:14:56.756757
273,26,Ignjata Joba,0:05:07.027027
276,26,"Pijaca ""Kalenić""",0:05:07.297297
279,25,"Pijaca ""Kalenić""",0:11:06.857143
281,83,"Pijaca ""Kalenić""",0:11:46.451613
284,25P,"Pijaca ""Kalenić""",0:14:57.567568
288,26,Južni Bulevar,0:05:07.297297
291,25,Južni Bulevar,0:11:06.857143
293,25P,Južni Bulevar,0:14:56.756757
297,26,Tetovska,0:05:07.297297
300,25,Tetovska,0:11:06.857143
302,25P,Tetovska,0:14:56.756757
306,26,Miška Jovanovića,0:05:07.297297
309,30,Miška Jovanovića,0:17:31.935484
312,26,Pravni Fakultet,0:05:07.567568
313,27,Pravni Fakultet,0:07:23.694268
317,74,Pravni Fakultet,0:10:07.777778
321,EKO1,Pravni Fakultet,0:24:01.363636
324,26,Glavna Pošta,0:05:07.567568
325,27,Glavna Pošta,0:07:24.076433
330,24,Glavna Pošta,0:13:44.096386
334,EKO1,Glavna Pošta,0:24:01.363636
336,26,Tehnički Fakulteti,0:05:07.567568
337,27,Tehnički Fakulteti,0:07:23.694268
341,74,Tehnički Fakulteti,0:10:07.222222
346,EKO1,Tehnički Fakulteti,0:24:04.090909
348,26,Dušanova,0:05:07.837838
349,37,Dušanova,0:06:41.454545
353,24,Dušanova,0:13:44.096386
357,44,Dušanova,0:21:31.200000
360,26,Trg Republike,0:05:07.837838
363,E2,Trg Republike,0:13:06.956522
365,44,Trg Republike,0:21:31.200000
368,26,Kralja Petra,0:05:07.837838
371,2,Kralja Petra,0:10:49.142857
372,5,Kralja Petra,0:11:05.567010
373,79,Kralja Petra,0:12:27.586207
376,24,Kralja Petra,0:13:44.096386
379,10,Kralja Petra,0:14:10.129870
386,26,Dorćol /Kneginje Ljubice/,0:05:07.837838
389,2,Dorćol /Kneginje Ljubice/,0:10:49.142857
390,5,Dorćol /Kneginje Ljubice/,0:11:11.020408
391,79,Dorćol /Kneginje Ljubice/,0:12:28.275862
394,24,Dorćol /Kneginje Ljubice/,0:13:44.096386
397,10,Dorćol /Kneginje Ljubice/,0:14:10.129870
404,26,Centralno Groblje,0:05:08.055556
407,26,Dragice Končar,0:05:08.055556
410,26,Jovana Bijelića,0:05:08.055556
413,26,Ignjata Joba,0:05:08.055556
416,26,Dragice Končar 1,0:05:08.055556
419,26,Tetovska,0:05:08.055556
422,25,Tetovska,0:10:58.867925
424,25P,Tetovska,0:15:19.436620
428,26,Miška Jovanovića,0:05:08.055556
431,30,Miška Jovanovića,0:18:10
434,26,Peke Pavlovića,0:05:08.055556
437,30,Peke Pavlovića,0:18:10
440,26,Dušanovac /Pošta/,0:05:08.055556
443,25,Dušanovac /Pošta/,0:10:58.867925
445,25P,Dušanovac /Pošta/,0:15:21.126761
449,26,Solunska,0:05:08.108108
452,EKO2,Solunska,0:10:08.823529
453,79,Solunska,0:12:28.275862
456,24,Solunska,0:13:44.096386
461,26,Braće Baruh,0:05:08.108108
464,2,Braće Baruh,0:10:49.142857
465,5,Braće Baruh,0:11:04.948454
466,79,Braće Baruh,0:12:28.275862
469,24,Braće Baruh,0:13:44.096386
472,10,Braće Baruh,0:14:09.350649
479,26,"Pijaca ""Kalenić""",0:05:10.783410
482,25,"Pijaca ""Kalenić""",0:10:58.301887
484,25P,"Pijaca ""Kalenić""",0:15:19.436620
488,26,Resavska,0:05:10.783410
489,27,Resavska,0:07:09.512195
493,74,Resavska,0:10:15.555556
495,24,Resavska,0:13:26.746988
500,EKO1,Resavska,0:23:12
503,26,Go Vračar,0:05:10.783410
506,25,Go Vračar,0:10:58.301887
508,25P,Go Vračar,0:15:19.436620
512,26,Tehnički Fakulteti,0:05:10.783410
513,27,Tehnički Fakulteti,0:07:09.512195
517,74,Tehnički Fakulteti,0:10:15.555556
521,EKO1,Tehnički Fakulteti,0:23:10.666667
524,26,Južni Bulevar,0:05:11.059908
527,25,Južni Bulevar,0:10:58.867925
529,25P,Južni Bulevar,0:15:19.436620
533,26,Pionirski Park,0:05:11.059908
534,37,Pionirski Park,0:06:39.750000
535,27,Pionirski Park,0:07:09.512195
541,E2,Pionirski Park,0:13:06.086957
542,24,Pionirski Park,0:13:26.746988
544,58,Pionirski Park,0:14:41.142857
549,44,Pionirski Park,0:21:12.244898
551,EKO1,Pionirski Park,0:23:13.333333
556,26,Pravni Fakultet,0:05:11.059908
557,27,Pravni Fakultet,0:07:09.512195
561,74,Pravni Fakultet,0:10:16.111111
566,EKO1,Pravni Fakultet,0:23:12
568,26,Trg Republike,0:05:13.486239
569,37,Trg Republike,0:06:39.750000
573,E2,Trg Republike,0:13:06.086957
574,24,Trg Republike,0:13:25.714286
579,26,Dorćol /Kneginje Ljubice/,0:05:13.761468
582,2,Dorćol /Kneginje Ljubice/,0:10:50.857143
583,5,Dorćol /Kneginje Ljubice/,0:11:28.421053
584,79,Dorćol /Kneginje Ljubice/,0:12:36.976744
587,24,Dorćol /Kneginje Ljubice/,0:13:25
590,10,Dorćol /Kneginje Ljubice/,0:14:17.142857
597,26,Despota Đurđa,0:05:13.761468
600,26,Kralja Petra,0:05:13.761468
603,2,Kralja Petra,0:10:50.857143
604,5,Kralja Petra,0:11:28.421053
605,79,Kralja Petra,0:12:36.976744
608,24,Kralja Petra,0:13:25
609,10,Kralja Petra,0:14:17.142857
618,26,Dušanova,0:05:13.761468
619,37,Dušanova,0:06:39.750000
623,24,Dušanova,0:13:25
627,44,Dušanova,0:21:12.244898
630,39,Kumodraž 1,0:05:15.700935
633,74,Bežanijska Kosa,0:05:21.028037
634,75,Bežanijska Kosa,0:05:26.666667
639,70,Bežanijska Kosa,0:13:57.804878
642,78,Bolnica Dragiša Mišović,0:05:28.643216
643,41,Bolnica Dragiša Mišović,0:06:30.514286
646,59,Bolnica Dragiša Mišović,0:07:26.250000
649,40,Bolnica Dragiša Mišović,0:09:24.210526
653,42,Bolnica Dragiša Mišović,0:12:57.882353
655,34,Bolnica Dragiša Mišović,0:22:58.571429
660,29A,Novopazarska,0:05:32.487805
663,21A,Novopazarska,0:10:02.162162
664,83,Novopazarska,0:11:30.947368
666,24,Novopazarska,0:13:44.096386
672,E1,Novopazarska,0:29:00
674,29A,Trg Slavija,0:05:32.487805
677,29A,Katanićeva,0:05:32.780488
680,21A,Katanićeva,0:10:02.702703
681,83,Katanićeva,0:11:22.340426
686,E1,Katanićeva,0:29:00
688,29A,Mpi,0:05:33.786408
689,46,Mpi,0:07:22.165605
693,21A,Mpi,0:10:01.621622
694,55,Mpi,0:11:25.102041
700,29A,Bačvanska,0:05:34.077670
701,46,Bačvanska,0:07:22.547771
705,21A,Bačvanska,0:10:01.081081
706,55,Bačvanska,0:11:25.714286
712,29A,Grčića Milenka,0:05:34.368932
713,46,Grčića Milenka,0:07:22.547771
717,21A,Grčića Milenka,0:10:01.081081
718,55,Grčića Milenka,0:11:25.714286
724,2,Pristanište,0:05:35.545024
727,11,Pristanište,0:23:08
730,2,Pristanište,0:05:35.545024
733,11,Pristanište,0:22:54.782609
736,29A,Rimska,0:05:35.652174
739,21A,Rimska,0:10:00.540541
742,E1,Rimska,0:29:00
744,29A,Šumice,0:05:35.652174
747,20,Šumice,0:22:35.510204
750,E1,Šumice,0:29:00
752,29A,Svetozara Radojčića,0:05:35.942029
753,50,Svetozara Radojčića,0:06:16.395349
758,20,Svetozara Radojčića,0:22:43.200000
761,29A,Medaković 2,0:05:35.942029
762,50,Medaković 2,0:06:16.046512
767,20,Medaković 2,0:22:35.510204
770,29A,Vladimira Tomanovića,0:05:35.942029
771,50,Vladimira Tomanovića,0:06:15.697674
776,20,Vladimira Tomanovića,0:22:36.734694
780,38L,Vladimira Tomanovića,0:29:58.125000
784,38,Vladimira Tomanovića,0:37:13.333333
786,64,Vladimira Tomanovića,0:38:10.909091
788,29A,Medaković 3,0:05:36.231884
791,18,Medaković 3,0:08:11.911765
792,26L,Medaković 3,0:08:28.235294
797,29A,Medaković 3,0:05:36.231884
800,18,Medaković 3,0:08:20
801,26L,Medaković 3,0:08:31.525424
806,20,Medaković 3,0:22:43.200000
809,29A,Šumice,0:05:37.500000
810,50,Šumice,0:06:33.641618
815,20,Šumice,0:21:42.857143
819,38,Šumice,0:37:13.333333
822,64,Šumice,0:38:10.909091
824,29A,Škola Vojislav Ilić,0:05:37.500000
827,21A,Škola Vojislav Ilić,0:10:10
831,E1,Škola Vojislav Ilić,0:29:00
832,29A,Bačvanska,0:05:37.500000
833,46,Bačvanska,0:07:24.800000
837,21A,Bačvanska,0:10:09.473684
838,55,Bačvanska,0:11:03.061224
844,29A,Svetozara Radojčića,0:05:37.500000
845,50,Svetozara Radojčića,0:06:33.294798
850,20,Svetozara Radojčića,0:21:42.857143
853,29A,Medaković 2,0:05:37.500000
854,50,Medaković 2,0:06:33.294798
859,20,Medaković 2,0:21:42.857143
862,29A,Rimska,0:05:37.500000
865,E1,Rimska,0:29:00
867,308,Šumice - Okretnica,0:05:38.235294
869,310,Šumice - Okretnica,0:10:05.769231
874,38,Šumice - Okretnica,0:18:36.666667
876,64,Šumice - Okretnica,0:38:10.909091
879,29A,Grčića Milenka,0:05:40.191388
880,46,Grčića Milenka,0:07:24.800000
884,21A,Grčića Milenka,0:10:09.473684
885,55,Grčića Milenka,0:11:03.061224
891,29A,Katanićeva,0:05:40.191388
894,21A,Katanićeva,0:10:08.421053
896,83,Katanićeva,0:11:45.806452
900,E1,Katanićeva,0:29:00
902,29A,Mačvanska,0:05:40.191388
905,21A,Mačvanska,0:10:08.421053
907,83,Mačvanska,0:11:45.806452
908,24,Mačvanska,0:13:27.804878
915,E1,Mačvanska,0:29:00
916,29A,Trg Slavija,0:05:40.191388
919,21A,Trg Slavija,0:10:07.894737
922,29A,Maksima Gorkog,0:05:40.191388
923,46,Maksima Gorkog,0:07:24.400000
927,21A,Maksima Gorkog,0:10:08.947368
928,55,Maksima Gorkog,0:11:03.673469
934,25,Karaburma 2,0:05:40.379147
937,31,Konjarnik,0:05:42.857143
938,50,Konjarnik,0:06:16.046512
940,17,Konjarnik,0:07:47.346939
946,308,Konjarnik,0:11:14.257426
948,310,Konjarnik,0:20:10.384615
950,E1,Konjarnik,0:29:00
954,31,Studentski Trg,0:05:43.283582
957,308,Vml,0:05:45.145631
960,38,Vml,0:19:15.555556
963,31,Hotel Srbija,0:05:45.380711
965,17,Hotel Srbija,0:07:47.346939
969,31,Šumice,0:05:45.380711
970,50,Šumice,0:06:16.046512
972,17,Šumice,0:07:47.346939
978,308,Šumice,0:11:14.257426
980,310,Šumice,0:20:11.538462
983,E1,Šumice,0:29:00
986,31,Grčića Milenka,0:05:45.454545
988,17,Grčića Milenka,0:07:47.346939
992,31,Dušanovac /Pošta/,0:05:45.454545
994,17,Dušanovac /Pošta/,0:07:48.648649
998,30,Dušanovac /Pošta/,0:18:10
1001,31,Stratimirovićeva,0:05:45.454545
1003,17,Stratimirovićeva,0:07:48.648649
1007,30,Stratimirovićeva,0:18:10
1010,31,Južni Bulevar,0:05:45.454545
1012,17,Južni Bulevar,0:07:48.648649
1016,30,Južni Bulevar,0:18:10
1019,31,Dom Zdravlja Voždovac,0:05:45.454545
1021,17,Dom Zdravlja Voždovac,0:07:47.346939
1025,31,Petrinjska,0:05:45.685279
1026,50,Petrinjska,0:06:15.697674
1028,17,Petrinjska,0:07:47.346939
1034,308,Petrinjska,0:11:14.257426
1036,310,Petrinjska,0:20:11.538462
1039,E1,Petrinjska,0:29:00
1042,31,Konjarnik,0:05:46.039604
1045,31,Karađorđev Park,0:05:46.039604
1046,48,Karađorđev Park,0:06:45.750000
1047,33,Karađorđev Park,0:07:24.400000
1048,59,Karađorđev Park,0:07:25.416667
1051,47,Karađorđev Park,0:08:00.851064
1052,9,Karađorđev Park,0:08:53.437500
1056,39,Karađorđev Park,0:10:11.320755
1057,78,Karađorđev Park,0:10:35.757576
1063,E9,Karađorđev Park,0:11:50.270270
1065,42,Karađorđev Park,0:12:59.294118
1067,10,Karađorđev Park,0:14:13.246753
1073,14,Karađorđev Park,0:17:30
1074,30,Karađorđev Park,0:17:33.870968
1078,402,Karađorđev Park,0:21:22.173913
1079,401,Karađorđev Park,0:21:45.600000
1081,36,Karađorđev Park,0:21:57.647059
1091,31,Stratimirovićeva,0:05:46.039604
1094,30,Stratimirovićeva,0:17:32.903226
1097,31,Franše Deperea,0:05:46.039604
1098,48,Franše Deperea,0:06:45.750000
1099,59,Franše Deperea,0:07:25.833333
1100,33,Franše Deperea,0:07:31.788079
1103,47,Franše Deperea,0:08:00.851064
1107,39,Franše Deperea,0:10:11.320755
1108,78,Franše Deperea,0:10:36.363636
1112,E9,Franše Deperea,0:11:50.270270
1114,42,Franše Deperea,0:12:59.294118
1119,30,Franše Deperea,0:17:33.870968
1121,402,Franše Deperea,0:21:22.173913
1122,401,Franše Deperea,0:21:45.600000
1124,36,Franše Deperea,0:21:57.647059
1134,31,Južni Bulevar,0:05:46.039604
1137,30,Južni Bulevar,0:17:32.903226
1140,31,Grčića Milenka,0:05:46.039604
1142,17,Grčića Milenka,0:07:52.191781
1147,38L,Grčića Milenka,0:29:56.250000
1149,31,Petrinjska,0:05:46.039604
1150,50,Petrinjska,0:06:33.641618
1152,17,Petrinjska,0:07:55.510204
1158,308,Petrinjska,0:11:12.115385
1160,310,Petrinjska,0:20:11.538462
1162,E1,Petrinjska,0:29:00
1166,31,Šumice,0:05:46.039604
1168,17,Šumice,0:07:55.102041
1173,38L,Šumice,0:29:58.125000
1175,31,Hotel Srbija,0:05:46.039604
1177,17,Hotel Srbija,0:07:55.102041
1183,38L,Hotel Srbija,0:29:56.250000
1184,31,Go Voždovac,0:05:46.039604
1187,30,Go Voždovac,0:17:31.935484
1190,31,Dušanovac /Pošta/,0:05:46.039604
1193,30,Dušanovac /Pošta/,0:17:31.935484
1196,31,Karađorđev Park,0:05:46.733668
1197,48,Karađorđev Park,0:06:57.073171
1198,59,Karađorđev Park,0:07:30
1200,33,Karađorđev Park,0:07:43.862069
1202,47,Karađorđev Park,0:08:11.304348
1203,9,Karađorđev Park,0:08:46.771654
1207,39,Karađorđev Park,0:09:54.495413
1208,78,Karađorđev Park,0:10:54
1214,E9,Karađorđev Park,0:11:48.648649
1216,42,Karađorđev Park,0:13:11.860465
1218,10,Karađorđev Park,0:14:13.246753
1224,14,Karađorđev Park,0:17:30
1226,30,Karađorđev Park,0:18:10
1229,402,Karađorđev Park,0:21:18.260870
1231,36,Karađorđev Park,0:21:57.647059
1233,401,Karađorđev Park,0:22:10.188679
1243,83,Mileševska,0:05:49.468085
1245,55,Stari Železnik,0:05:49.897959
1248,309,Zvezdara /Pijaca/,0:05:58.163265
1251,16,Salvadora Aljendea,0:06:00.652174
1252,23,Salvadora Aljendea,0:06:54.037267
1257,25,Salvadora Aljendea,0:11:04.615385
1260,309,Kaluđerica /Centar/,0:06:02.436548
1263,309L,Kaluđerica /Centar/,0:19:39.661017
1266,309,Isidora Blagojevića,0:06:02.436548
1269,309L,Isidora Blagojevića,0:19:39.661017
1272,16,Husinjskih Rudara,0:06:02.594595
1273,23,Husinjskih Rudara,0:06:53.664596
1278,25,Husinjskih Rudara,0:11:04.615385
1281,309,Radisava Ignjatovića,0:06:02.741117
1284,309L,Radisava Ignjatovića,0:19:39.661017
1287,309,Stepe Stepanovića,0:06:02.741117
1290,309,Željka Milivojevića,0:06:02.741117
1293,16,Patrisa Lumumbe,0:06:02.918919
1294,23,Patrisa Lumumbe,0:06:55.185185
1299,25,Patrisa Lumumbe,0:11:04.038462
1302,16,Vuka Vrčevića,0:06:02.918919
1303,23,Vuka Vrčevića,0:06:55.185185
1304,35,Vuka Vrčevića,0:08:33.600000
1308,32,Vuka Vrčevića,0:09:50.769231
1309,74,Vuka Vrčevića,0:10:13.457944
1312,25,Vuka Vrčevića,0:11:04.038462
1317,25P,Vuka Vrčevića,0:14:47.671233
1323,202,Vuka Vrčevića,0:25:32.727273
1326,32E,Vuka Vrčevića,0:31:17.777778
1327,35L,Vuka Vrčevića,1:06:00
1328,16,Vojvode Micka Krstića,0:06:02.918919
1329,23,Vojvode Micka Krstića,0:06:55.185185
1334,25,Vojvode Micka Krstića,0:11:04.038462
1337,16,Stevana Hristića,0:06:02.918919
1338,23,Stevana Hristića,0:06:53.664596
1343,25,Stevana Hristića,0:11:04.615385
1346,16,Diljska,0:06:02.918919
1347,23,Diljska,0:06:53.664596
1352,25,Diljska,0:11:04.615385
1355,309,Dom Zdravlja,0:06:03.045685
1358,309,Novo Naselje,0:06:03.045685
1361,307,Novo Naselje,0:12:19.780220
1362,302,Novo Naselje,0:12:46.206897
1363,305,Novo Naselje,0:14:10.632911
1364,311,Novo Naselje,0:18:38.360656
1366,304,Novo Naselje,0:21:19.245283
1371,306,Novo Naselje,0:27:45.714286
1375,303,Novo Naselje,0:33:50.625000
1382,309,Ilije Guteše,0:06:03.045685
1385,307,Ilije Guteše,0:12:19.780220
1386,302,Ilije Guteše,0:12:46.206897
1387,305,Ilije Guteše,0:14:10.632911
1388,311,Ilije Guteše,0:18:38.360656
1390,304,Ilije Guteše,0:21:19.245283
1395,306,Ilije Guteše,0:27:47.142857
1399,303,Ilije Guteše,0:33:50.625000
1406,309,Put Za Kaluđericu,0:06:03.045685
1409,307,Put Za Kaluđericu,0:12:19.780220
1410,302,Put Za Kaluđericu,0:12:46.206897
1411,305,Put Za Kaluđericu,0:14:22.500000
1412,311,Put Za Kaluđericu,0:18:39.344262
1414,304,Put Za Kaluđericu,0:21:19.245283
1419,306,Put Za Kaluđericu,0:27:47.142857
1423,303,Put Za Kaluđericu,0:33:50.625000
1430,309,Kopaonička,0:06:03.045685
1433,309,Nine Kirsanove,0:06:03.045685
1436,307,Nine Kirsanove,0:12:19.780220
1437,302,Nine Kirsanove,0:12:46.206897
1438,305,Nine Kirsanove,0:14:10.632911
1439,311,Nine Kirsanove,0:18:38.360656
1441,304,Nine Kirsanove,0:21:18.113208
1446,306,Nine Kirsanove,0:27:45.714286
1450,303,Nine Kirsanove,0:33:48.750000
1457,16,Pančevački Most,0:06:03.243243
1458,95,Pančevački Most,0:06:38.443114
1459,23,Pančevački Most,0:06:55.185185
1462,43,Pančevački Most,0:08:30
1463,35,Pančevački Most,0:08:34.080000
1473,96,Pančevački Most,0:11:47.142857
1475,32E,Pančevački Most,0:31:20
1476,16,Cvijićeva,0:06:03.243243
1477,95,Cvijićeva,0:06:38.443114
1478,23,Cvijićeva,0:06:55.185185
1479,27E,Cvijićeva,0:07:49.565217
1482,43,Cvijićeva,0:08:30
1484,35,Cvijićeva,0:08:39.047619
1494,E6,Cvijićeva,0:19:33.913043
1496,32E,Cvijićeva,0:31:20
1497,16,Czk Vlada Divljan,0:06:03.243243
1498,95,Czk Vlada Divljan,0:06:38.443114
1499,23,Czk Vlada Divljan,0:06:55.185185
1500,48,Czk Vlada Divljan,0:06:57.073171
1501,33,Czk Vlada Divljan,0:07:45.103448
1502,27E,Czk Vlada Divljan,0:07:49.565217
1505,43,Czk Vlada Divljan,0:08:30.441176
1507,35,Czk Vlada Divljan,0:08:39.047619
1521,96,Czk Vlada Divljan,0:11:47.142857
1525,E6,Czk Vlada Divljan,0:19:33.913043
1526,32E,Czk Vlada Divljan,0:31:20
1527,309,Pirandelova,0:06:03.350254
1530,307,Pirandelova,0:12:19.780220
1531,311,Pirandelova,0:18:38.360656
1534,306,Pirandelova,0:27:44.285714
1539,309,"Oš ""Dragojlo Dudić""",0:06:03.350254
1542,308,"Oš ""Dragojlo Dudić""",0:11:12.115385
1543,307,"Oš ""Dragojlo Dudić""",0:12:19.780220
1544,302,"Oš ""Dragojlo Dudić""",0:12:46.206897
1545,305,"Oš ""Dragojlo Dudić""",0:14:10.632911
1547,311,"Oš ""Dragojlo Dudić""",0:18:39.344262
1548,310,"Oš ""Dragojlo Dudić""",0:20:11.538462
1550,304,"Oš ""Dragojlo Dudić""",0:21:16.981132
1556,306,"Oš ""Dragojlo Dudić""",0:27:44.285714
1562,303,"Oš ""Dragojlo Dudić""",0:33:46.875000
1569,16,Džordža Vašingtona,0:06:03.567568
1570,95,Džordža Vašingtona,0:06:38.443114
1571,27E,Džordža Vašingtona,0:07:49.565217
1574,43,Džordža Vašingtona,0:08:29.558824
1576,35,Džordža Vašingtona,0:08:39.047619
1584,58,Džordža Vašingtona,0:15:08.695652
1587,E6,Džordža Vašingtona,0:19:33.913043
1589,32E,Džordža Vašingtona,0:31:17.777778
1590,309,Mirijevska,0:06:03.654822
1593,308,Mirijevska,0:11:12.115385
1594,307,Mirijevska,0:12:19.780220
1595,302,Mirijevska,0:12:46.206897
1596,305,Mirijevska,0:14:10.632911
1598,311,Mirijevska,0:18:39.344262
1600,304,Mirijevska,0:21:18.113208
1606,306,Mirijevska,0:27:44.285714
1610,303,Mirijevska,0:33:46.875000
1617,309,Bajdina,0:06:03.654822
1620,308,Bajdina,0:11:12.115385
1621,307,Bajdina,0:12:19.120879
1622,302,Bajdina,0:12:46.206897
1623,305,Bajdina,0:14:10.632911
1625,311,Bajdina,0:18:39.344262
1627,304,Bajdina,0:21:16.981132
1633,306,Bajdina,0:27:42.857143
1637,303,Bajdina,0:33:45
1641,64,Bajdina,0:38:10.909091
1647,309,Koste Trifkovića,0:06:03.654822
1650,7,Koste Trifkovića,0:09:26.129032
1653,5,Koste Trifkovića,0:11:15.918367
1656,14,Koste Trifkovića,0:17:30
1659,20,Koste Trifkovića,0:22:37.959184
1660,6,Koste Trifkovića,0:23:26.666667
1665,309,Prvomajska,0:06:03.654822
1668,16,Brankov Most,0:06:06.774194
1669,95,Brankov Most,0:06:41.785714
1670,84,Brankov Most,0:07:42.162162
1671,27E,Brankov Most,0:07:49.565217
1672,15,Brankov Most,0:07:57.551020
1675,65,Brankov Most,0:08:12.173913
1677,35,Brankov Most,0:08:39.047619
1683,75,Brankov Most,0:10:44.859813
1692,77,Brankov Most,0:13:28.461538
1693,71,Brankov Most,0:13:36.867470
1697,67,Brankov Most,0:16:32.647059
1699,E6,Brankov Most,0:19:33.913043
1703,EKO1,Brankov Most,0:23:17.333333
1706,68,Brankov Most,0:25:30
1709,72,Brankov Most,0:30:42.857143
1714,60,Brankov Most,0:57:30
1715,60L,Brankov Most,1:18:00
1716,16,Zeleni Venac,0:06:06.774194
1717,95,Zeleni Venac,0:06:41.785714
1718,27E,Zeleni Venac,0:07:49.565217
1720,65,Zeleni Venac,0:08:12.173913
1722,35,Zeleni Venac,0:08:39.047619
1732,77,Zeleni Venac,0:13:27.692308
1734,E6,Zeleni Venac,0:19:33.913043
1737,EKO1,Zeleni Venac,0:23:16
1739,16,Dom Omladine,0:06:06.774194
1740,95,Dom Omladine,0:06:41.785714
1741,27E,Dom Omladine,0:07:49.565217
1744,35,Dom Omladine,0:08:39.047619
1751,58,Dom Omladine,0:15:09.565217
1754,E6,Dom Omladine,0:19:33.913043
1756,16,Španskih Boraca,0:06:07.096774
1757,65,Španskih Boraca,0:08:13.812950
1758,75,Španskih Boraca,0:10:44.859813
1759,78,Španskih Boraca,0:10:54
1764,83,Španskih Boraca,0:11:52.978723
1768,77,Španskih Boraca,0:13:28.461538
1769,71,Španskih Boraca,0:13:36.144578
1777,72,Španskih Boraca,0:30:36.666667
1780,16,Šest Kaplara,0:06:07.096774
1781,75,Šest Kaplara,0:10:44.859813
1782,78,Šest Kaplara,0:10:54
1786,83,Šest Kaplara,0:11:45.161290
1788,71,Šest Kaplara,0:13:36.867470
1795,72,Šest Kaplara,0:30:42.857143
