,route_short_name,stop_name,service_id,average_wait
10997,E1,Dr Ivana Ribara,Zimski-Subota,0:29:00
10998,E1,Dr Ivana Ribara,Zimski-Radni Dan,0:29:00
10999,45,Surčinska,Zimski-Radni Dan,0:07:49.795918
11000,45,Surčinska,Zimski-Subota,0:09:28
11001,601,Surčinska,Zimski-Radni Dan,0:10:19.821429
11002,45,Surčinska,Zimski-Nedelja,0:10:31.111111
11003,71,Surčinska,Zimski-Radni Dan,0:13:21.481481
11004,71,Surčinska,Zimski-Subota,0:14:56.756757
11005,71,Surčinska,Zimski-Nedelja,0:14:56.756757
11006,601,Surčinska,Zimski-Subota,0:17:48
11007,601,Surčinska,Zimski-Nedelja,0:18:33.333333
11008,602,Surčinska,Zimski-Radni Dan,0:28:21.538462
11009,602,Surčinska,Zimski-Nedelja,0:37:45.517241
11010,602,Surčinska,Zimski-Subota,0:37:45.517241
11011,27E,Šest Kaplara,Zimski-Radni Dan,0:07:51.063830
11012,35,Šest Kaplara,Zimski-Radni Dan,0:08:37.322835
11013,27E,Šest Kaplara,Zimski-Subota,0:09:30.517241
11014,35,Šest Kaplara,Zimski-Subota,0:09:57.272727
11015,27E,Šest Kaplara,Zimski-Nedelja,0:10:34.285714
11016,35,Šest Kaplara,Zimski-Nedelja,0:12:47.560976
11017,17,Mostar,Zimski-Radni Dan,0:07:51.780822
11018,18,Mostar,Zimski-Radni Dan,0:08:12.857143
11019,17,Mostar,Zimski-Subota,0:08:48
11020,17,Mostar,Zimski-Nedelja,0:08:55.781250
11021,18,Mostar,Zimski-Subota,0:10:45.688073
11022,18,Mostar,Zimski-Nedelja,0:11:30
11023,70,Mostar,Zimski-Subota,0:25:18
11024,70,Mostar,Zimski-Radni Dan,0:25:18
11025,70,Mostar,Zimski-Nedelja,0:25:18
11026,17,Dom Zdravlja Voždovac,Zimski-Radni Dan,0:07:52.191781
11027,17,Dom Zdravlja Voždovac,Zimski-Subota,0:08:50.839695
11028,17,Dom Zdravlja Voždovac,Zimski-Nedelja,0:08:59.069767
11029,70,Dom Zdravlja Voždovac,Zimski-Subota,0:25:19.500000
11030,70,Dom Zdravlja Voždovac,Zimski-Radni Dan,0:25:19.500000
11031,70,Dom Zdravlja Voždovac,Zimski-Nedelja,0:25:19.500000
11032,38L,Dom Zdravlja Voždovac,Zimski-Radni Dan,0:29:54.375000
11033,38L,Dom Zdravlja Voždovac,Zimski-Nedelja,0:29:54.375000
11034,38L,Dom Zdravlja Voždovac,Zimski-Subota,0:29:54.375000
11035,17,Dušanovac /Pošta/,Zimski-Radni Dan,0:07:52.191781
11036,17,Dušanovac /Pošta/,Zimski-Subota,0:08:50.839695
11037,17,Dušanovac /Pošta/,Zimski-Nedelja,0:08:59.069767
11038,38L,Dušanovac /Pošta/,Zimski-Radni Dan,0:29:56.250000
11039,38L,Dušanovac /Pošta/,Zimski-Subota,0:29:56.250000
11040,38L,Dušanovac /Pošta/,Zimski-Nedelja,0:29:56.250000
11041,17,Crkva Svetog Dimitrija,Zimski-Radni Dan,0:07:52.348993
11042,17,Crkva Svetog Dimitrija,Zimski-Nedelja,0:09:07.031250
11043,17,Crkva Svetog Dimitrija,Zimski-Subota,0:09:07.500000
11044,74,Crkva Svetog Dimitrija,Zimski-Radni Dan,0:10:24.220183
11045,74,Crkva Svetog Dimitrija,Zimski-Subota,0:15:38.873239
11046,74,Crkva Svetog Dimitrija,Zimski-Nedelja,0:17:36.190476
11047,70,Crkva Svetog Dimitrija,Zimski-Subota,0:25:18.571429
11048,70,Crkva Svetog Dimitrija,Zimski-Radni Dan,0:25:18.571429
11049,70,Crkva Svetog Dimitrija,Zimski-Nedelja,0:25:18.571429
11050,17,Bulevar Umetnosti,Zimski-Radni Dan,0:07:52.348993
11051,17,Bulevar Umetnosti,Zimski-Nedelja,0:09:07.031250
11052,17,Bulevar Umetnosti,Zimski-Subota,0:09:07.500000
11053,74,Bulevar Umetnosti,Zimski-Radni Dan,0:10:24.220183
11054,74,Bulevar Umetnosti,Zimski-Subota,0:15:39.718310
11055,74,Bulevar Umetnosti,Zimski-Nedelja,0:17:36.190476
11056,70,Bulevar Umetnosti,Zimski-Nedelja,0:25:17.142857
11057,70,Bulevar Umetnosti,Zimski-Radni Dan,0:25:17.142857
11058,70,Bulevar Umetnosti,Zimski-Subota,0:25:17.142857
11059,68,Bulevar Umetnosti,Zimski-Radni Dan,0:25:33
11060,68,Bulevar Umetnosti,Zimski-Nedelja,0:29:12
11061,68,Bulevar Umetnosti,Zimski-Subota,0:29:12
11062,17,Blok 25,Zimski-Radni Dan,0:07:52.348993
11063,17,Blok 25,Zimski-Nedelja,0:09:07.031250
11064,17,Blok 25,Zimski-Subota,0:09:07.500000
11065,67,Blok 25,Zimski-Radni Dan,0:16:33.529412
11066,67,Blok 25,Zimski-Nedelja,0:20:20.727273
11067,67,Blok 25,Zimski-Subota,0:20:20.727273
11068,EKO1,Blok 25,Zimski-Subota,0:23:47.727273
11069,EKO1,Blok 25,Zimski-Radni Dan,0:23:47.727273
11070,EKO1,Blok 25,Zimski-Nedelja,0:23:47.727273
11071,17,Beogradska Arena,Zimski-Radni Dan,0:07:52.348993
11072,17,Beogradska Arena,Zimski-Nedelja,0:09:07.031250
11073,17,Beogradska Arena,Zimski-Subota,0:09:07.500000
