,route_short_name,stop_name,average_wait
415,79,Dorćol /Src Milan Gale Muškatirović/,0:12:36.976744
418,24,Dorćol /Src Milan Gale Muškatirović/,0:13:23.571429
423,EKO2,Beograd Na Vodi,0:10:14.423077
424,601,Beograd Na Vodi,0:10:28.947368
429,3A,Beograd Na Vodi,0:10:15.789474
432,551,Beograd Na Vodi,0:18:00
435,92,Beograd Na Vodi,0:26:05.853659
438,91,Beograd Na Vodi,0:26:25.714286
441,553,Beograd Na Vodi,0:45:27.272727
444,75,Zeleni Venac,0:10:16.363636
446,71,Zeleni Venac,0:13:35.853659
450,67,Zeleni Venac,0:16:32.647059
454,72,Zeleni Venac,0:31:03.157895
458,60,Zeleni Venac,1:04:00
459,60L,Zeleni Venac,1:04:17.142857
460,601,Surčin,0:10:21.621622
464,607,Surčin,1:31:52.500000
466,101,Padinska Skela,0:10:23.478261
469,107,Padinska Skela,0:57:53.684211
472,102,Padinska Skela,0:58:45
473,110,Padinska Skela,1:14:00
478,109,Padinska Skela,1:16:25.714286
479,101,Omladinski Stadion,0:10:23.684211
480,105,Omladinski Stadion,0:16:16.056338
483,104,Omladinski Stadion,0:23:45
486,106,Omladinski Stadion,0:39:00
491,74,Bežanijska Kosa,0:10:24.770642
492,75,Bežanijska Kosa,0:10:44.859813
497,70,Bežanijska Kosa,0:25:14.285714
500,25,Karaburma 2,0:11:04.485981
503,2,Pristanište,0:11:07.924528
506,2,Pristanište,0:11:07.924528
509,25,Kumodraž 2,0:11:10.754717
512,308,Šumice - Okretnica,0:11:14.257426
514,310,Šumice - Okretnica,0:20:11.538462
520,38,Šumice - Okretnica,0:37:13.333333
521,308,Vml,0:11:17.142857
526,38,Vml,0:37:13.333333
527,55,Stari Železnik,0:11:18.787879
530,51,Bele Vode,0:11:19.411765
533,55,Zvezdara,0:11:25.714286
536,5,Tadeuša Košćuška,0:11:28.421053
539,10,Tadeuša Košćuška,0:14:17.142857
543,11,Tadeuša Košćuška,0:22:56.086957
545,83,Mileševska,0:11:31.578947
548,53,Zeleni Venac,0:11:43.030303
551,12,Omladinski Stadion,0:11:47.142857
554,73,Batajnica /Železnička Stanica/,0:11:59.354839
557,703L1,Batajnica /Železnička Stanica/,0:21:34.444444
560,12,Banovo Brdo,0:12:05
561,13,Banovo Brdo,0:12:15.164835
566,704,Zemun Polje,0:12:14.042553
567,707,Zemun Polje,0:15:52.702703
572,708,Zemun Polje,0:24:21.702128
573,709,Zemun Polje,0:25:00
578,307,Ustanička,0:12:18.461538
579,311,Ustanička,0:19:20
582,306,Ustanička,0:27:40.975610
587,307,Vinča,0:12:21.758242
590,704,Zeleni Venac,0:12:30
591,707,Zeleni Venac,0:15:42.253521
596,89,Vidikovac,0:12:35.294118
600,504,Vidikovac,0:19:02.105263
602,89,Novi Beograd /Blok 72/,0:12:36.976744
605,302,Begaljica,0:12:58.651685
608,E2,Trg Republike,0:13:06.086957
611,77,Bežanijska Kosa,0:13:27.692308
613,76,Bežanijska Kosa,0:48:03.333333
616,706,Batajnica,0:13:09.655172
619,302,Ustanička,0:13:14.318182
620,305,Ustanička,0:14:22.500000
621,304,Ustanička,0:21:13.584906
626,303,Ustanička,0:34:13.125000
631,706,Zeleni Venac,0:13:20
634,505L,Miljakovačke Staze,0:13:23.846154
636,505,Miljakovačke Staze,0:14:56.202532
642,505R,Miljakovačke Staze,0:51:33.750000
643,505L,Miljakovac 1,0:13:23.846154
646,71,Ledine,0:13:37.857143
649,603,Ledine,0:23:09.795918
652,24,Neimar,0:13:44.096386
655,49,Naselje Stepa Stepanović,0:14:05.070423
658,305,Boleč,0:14:22.500000
662,505,Miljakovac 1 – Okretnica,0:14:44.615385
665,502,Miljakovac 1 – Okretnica,0:21:25.714286
667,54,Miljakovac 1 – Okretnica,0:44:02.307692
670,505R,Miljakovac 1 – Okretnica,0:51:33.750000
673,611,Dobanovci /Groblje/,0:14:48.311688
676,606,Dobanovci /Groblje/,0:38:40
679,25P,Kumodraž (Stepina Kuća),0:15:04
682,105,Ovča /Železnička Stanica/,0:16:04.285714
683,105L,Ovča /Železnička Stanica/,0:21:43.846154
688,67,Blok 70a,0:16:32.647059
691,708,Blok 70a,0:23:48.260870
694,76,Blok 70a,0:47:46.666667
697,700,Batajnica /Železnička Stanica/,0:16:49.523810
700,85,Borča 3,0:16:56.363636
703,405,Voždovac,0:17:04.285714
706,403,Voždovac,0:30:07.692308
707,409,Voždovac,0:33:42.222222
710,408,Voždovac,0:37:05.806452
713,407,Voždovac,0:43:16.153846
720,406,Voždovac,1:05:52.941176
721,405,Glumčevo Brdo,0:17:04.285714
725,405L,Glumčevo Brdo,0:38:24
727,610,Jakovo,0:17:14.328358
730,30,Medaković 2,0:17:30
733,81,Altina 1,0:17:42.711864
734,81L,Altina 1,0:18:28.474576
739,551,Sremčica,0:18:09.230769
742,311,Leštane (Ravan),0:18:56.129032
745,531,13. Septembar,0:19:12.631579
748,66,Naučno-Tehnološki Park ,0:19:33.333333
751,309L,Put Za Institut,0:19:39.661017
754,309L,Kaluđerica (Višnjićeva),0:19:40
757,531,Banovo Brdo,0:19:49.090909
758,532,Banovo Brdo,0:20:54.545455
759,512,Banovo Brdo,0:26:13.170732
760,533,Banovo Brdo,0:29:48.888889
769,532,Oslobođenja 2,0:19:49.090909
772,604,Preka Kaldrma,0:20:05.263158
776,702L,Batajnica /Šangajska/,0:20:10.344828
778,703L,Batajnica /Šangajska/,0:20:10.526316
781,310,Mali Mokri Lug (Crkva),0:20:11.538462
786,702L,Busije /Crkva/,0:20:15.254237
787,703L,Ugrinovci,0:20:31.578947
790,603,Ugrinovci,0:23:09.795918
793,711,Ugrinovci,0:47:49.565217
796,44,Žel. St. Dunav -Okretnica,0:21:13.469388
799,402,Beli Potok,0:21:18.260870
802,108,Reva /Duboka Bara/,0:21:24.905660
805,304,Ritopek,0:21:24.905660
809,502,Orlovača Groblje,0:21:25.714286
811,533,Orlovača Groblje,0:29:48.888889
814,108,Omladinski Stadion /Ulaz/,0:21:28.888889
815,202,Omladinski Stadion /Ulaz/,0:25:34.090909
820,35L,Omladinski Stadion /Ulaz/,1:06:00
821,44,Topčidersko Brdo /Senjak/,0:21:30
822,34,Topčidersko Brdo /Senjak/,0:22:58.571429
827,605,Progar,0:21:47.547170
830,703L1,Kej Oslobođenja,0:21:53.207547
833,705,Kej Oslobođenja,0:50:00
836,706E,Kej Oslobođenja,0:58:12.857143
841,36,Železnička Stanica Bgd Centar,0:21:57.647059
842,105L,Borča 3,0:22:02.400000
845,401,Pinosava,0:22:03.529412
850,36,Železnička Stanica Beograd Centar,0:22:18.461538
851,20,Veliki Mokri Lug,0:22:42
854,34,Pere Velimirovića,0:23:05.714286
857,104,Crvenka,0:23:15.918367
862,6,Tašmajdan /Park/,0:24:12.272727
864,EKO1,Garaža Novi Beograd,0:24:01.304348
866,709,Zemun (Novi Grad),0:24:13.333333
869,68,Blok 70,0:25:37.500000
874,92,Ostružnica /Karaula/,0:26:00
875,202,Veliko Selo,0:26:02.790698
880,70,Ikea,0:26:05.853659
