,stop_name,Number of trips
9038,Bolnica,250
4208,Hotel Radmilovac,250
3411,Batajnica (Centar),250
3405,Majke Jugovića,250
3399,Braće Smiljanić,250
2577,Slavoljuba Vuksanovića,250
3393,Maksima Brankovića,250
7660,Belarička,250
251,Rk Beograđanka,250
2329,Rada Končara /Dom Zdravlja/,250
3387,Batajnica (Ulaz),250
2583,Narod. Heroja Velizara Stankovića,250
882,Branko Plećaš,250
3688,Mz Blok 61,250
870,Prvomajska,250
3682,Blok 62,250
3676,Blok 63,250
6091,Nikole Marakovića,249
5135,Vikend Naselje,249
2326,Rada Končara /Dom Zdravlja/,249
2385,Zvezdara,249
5129,Vila Mara,249
3263,Imt,249
3108,Veljka Dugoševića,249
3461,Gandijeva,249
3312,Blok 44,249
3305,Nedeljka Gvozdenovića,249
2358,Mihajla Gavrilovića,249
2373,Đerdapska,249
7406,Sc Mladost,249
3117,Braće Ribnikar,249
3318,Dom Zdravlja Blok 44,249
2379,Škola Vojislav Ilić,249
3114,Toplička,249
3287,Crkva Sv. Georgija,249
2589,Miljakovac 2,249
6913,Miljakovačka Šuma,249
2960,Petlovo Brdo,249
2332,Oš Petar Kočić,249
5693,Novo Naselje,249
2357,Vidikovac,248
3427,Sc 11. April,248
3309,Blok 44,248
102,Pravni Fakultet,248
4597,Pirandelova,248
4598,Pirandelova,248
3315,Dom Zdravlja Blok 44,248
1248,Prešernova,247
8017,Trg Oslobođenja,247
1254,Trg Oslobođenja,247
7409,Sc Mladost,247
1251,Prešernova,247
5138,Vikend Naselje,247
5132,Vila Mara,247
5696,Novo Naselje,247
6268,Brđanska,246
3589,Borča 3,246
6262,Josipa Telarevića,246
2592,Miljakovac 2,246
547,Škola Vojislav Ilić,246
1710,Milutina Milankovića,246
1953,Palih Boraca,246
3909,Ovča /Železnička Stanica/,246
6137,Milana Vujaklije,246
6155,Magelanova,246
3236,Studentski Grad,246
6128,Ljubinke Bobić,246
6134,Marka Ristića,246
3586,Borča 3,245
2607,Trošarina,245
6916,Miljakovačka Šuma,245
2921,Labudovo Brdo,245
1369,Karaburma 2,245
6094,Nikole Marakovića,245
2586,Narod. Heroja Velizara Stankovića,245
1708,Trg Republike,245
2580,Slavoljuba Vuksanovića,245
1370,Karaburma 2,245
2927,Serdar Janka Vukotića,245
1210,Sc Sport Eko,244
7535,Topčiderski Park,244
7187,Slavka Rodića,244
6685,Batajnica /Železnička Stanica/,244
2763,Ivo Lola Ribar,244
1198,Braće Jerković (Mitrovo Brdo),244
3347,Preduzeće Galenika Magmasil,244
1192,Naselje Braće Jerković,244
4923,Sremčica,243
6295,Kosovopoljska,243
2780,Svetolika Lazarevića Laze,243
2692,Vidikovac,243
2786,Obalskih Radnika,243
3430,Sc 11. April,243
4708,Beli Potok /Kumbara/,243
552,Rimska,243
2792,Mz Čukarička Padina,243
1457,Ratka Mitrovića,242
4595,Pirandelova,242
2298,Dušanova,242
556,Rimska,242
1936,Kalemarska,242
2304,Ugrinovačka,242
3479,Generala Nedeljkovića,242
4594,Pirandelova,242
3350,Preduzeće Galenika Magmasil,242
1951,Oktobarska,242
5813,Crkva Svetog Dimitrija,241
6131,Marka Ristića,241
2576,Železnička Stanica Resnik,241
2570,Aleksandra Vojinovića,241
4711,Beli Potok /Kumbara/,241
1207,Sc Sport Eko,241
6410,Magelanova,241
1189,Naselje Braće Jerković,241
4664,Riste Stefanovića,241
3482,Generala Nedeljkovića,241
9276,1000 Ruža,241
2295,Dušanova,241
3033,Staro Sajmište,241
4670,Voje Radića,241
4658,Banjica 2,241
1195,Braće Jerković (Mitrovo Brdo),241
6674,Milana Vujaklije,241
6176,Šest Kaplara,241
2930,Serdar Janka Vukotića,240
6265,Josipa Telarevića,240
2924,Labudovo Brdo,240
1949,Oktobarska,240
1269,Ix Beogradska Gimnazija,240
7536,Topčiderski Park,240
2849,Ranžirna Stanica,239
2855,Železnik /Ulaz/,239
2962,Banovo Brdo,239
9279,1000 Ruža,239
3150,Narodnih Heroja,239
2843,Put Za Žtp,239
3590,Borča 3,239
2963,Banovo Brdo,239
2837,Rupčine,239
2831,Železnički Tunel,239
4654,Banjica 2,238
5136,Vikend Naselje,238
3160,Omladinski Stadion/Izlaz/,238
3161,Omladinski Stadion/Izlaz/,238
4660,Riste Stefanovića,238
4666,Voje Radića,238
7231,Altina 1,238
4546,Kefalonijska,238
5694,Novo Naselje,238
2123,Šumice - Okretnica,238
7407,Sc Mladost,238
1272,Ix Beogradska Gimnazija,238
5130,Vila Mara,238
6266,Josipa Telarevića,237
3512,Mz Mladost,237
2567,Aleksandra Vojinovića,236
2795,Mz Čukarička Padina,236
5360,Ugrinovci,236
3372,Ciglana,236
6123,Peđe Milosavljevića,236
2783,Svetolika Lazarevića Laze,236
3369,Ciglana,236
3546,Zemun /Bačka/,236
2789,Obalskih Radnika,236
621,Jaše Prodanovića,236
8822,Put Za Beli Potok,236
8825,Put Za Beli Potok,236
2573,Železnička Stanica Resnik,236
1603,Voždovački Kružni Put,235
3192,Milutina Milankovića,235
1639,Kumodraž 2,235
7574,Pukovnika Petra Mišića,235
1621,Dušana Jovanovića ,235
1609,Preduzeće Izolacija,235
1627,Put Za Kumodraško Groblje,235
1336,Mite Ružića,235
3433,Stojana Aralice,235
1294,Mirijevo 3,235
7209,Savska Terasa,235
1615,Preduzeće Petar Velebit,235
1633,Junska,235
3515,Mz Mladost,235
6792,Gandijeva,235
5139,Vikend Naselje,234
108,Trg Slavija /Nemanjina/,234
6784,Bulevar Umetnosti,234
5697,Novo Naselje,234
5133,Vila Mara,234
7410,Sc Mladost,234
5049,Španskih Boraca,234
2084,Kneza Višeslava,234
111,Trg Slavija /Nemanjina/,234
6126,Ljubinke Bobić,234
6213,Ane Ahmatove,234
4709,Beli Potok /Kumbara/,234
2081,Kneza Višeslava,234
3502,Pukovnika Petra Mišića,233
3582,Zemun /Bačka/,233
1954,Palih Boraca,233
1618,Dušana Jovanovića ,233
1612,Preduzeće Petar Velebit,233
9261,Palata Pravde 1,233
2206,Blok 25,233
1624,Put Za Kumodraško Groblje,233
1600,Voždovački Kružni Put,233
1606,Preduzeće Izolacija,233
6263,Josipa Telarevića,233
2002,Trg Republike,233
3587,Borča 3,233
630,Zdravka Čelara,233
624,Jaše Prodanovića,233
3622,Borča Raskršće,233
1636,Kumodraž 2,233
6269,Brđanska,233
5814,Crkva Svetog Dimitrija,233
1630,Junska,233
3623,Borča Raskršće,233
6890,Oštreljska,233
6893,Oštreljska,233
9273,Batajnica /Šangajska/,232
4712,Beli Potok /Kumbara/,232
9274,Batajnica /Šangajska/,232
9277,1000 Ruža,232
9272,Batajnica /Šangajska/,232
2852,Železnik /Ulaz/,231
2846,Ranžirna Stanica,231
8282,Novi Beograd (Blok 20),231
6672,Železnička Stanica Novi Beograd,231
2207,Blok 25,231
2828,Železnički Tunel,231
2834,Rupčine,231
6062,Miljakovac 3,231
2840,Put Za Žtp,231
1398,Petlja Radnička,231
236,Pravni Fakultet,230
2291,Milutina Milankovića,230
9280,1000 Ruža,230
2294,Milutina Milankovića,230
235,Pravni Fakultet,230
3364,Put Za 13. Maj,230
431,Voždovac,230
430,Voždovac,230
4661,Riste Stefanovića,229
2410,27. Marta,229
2404,Cvijićeva,229
4655,Banjica 2,229
3367,Put Za 13. Maj,229
4667,Voje Radića,229
4547,Kefalonijska,229
2416,Pravni Fakultet,229
5044,Hala Aleksandar Nikolić,229
6152,Žs Pančevački Most,229
419,Banjica,228
362,Franše Deperea,228
9052,Beograd Na Vodi,228
9051,Beograd Na Vodi,228
8286,Šest Kaplara,228
2871,Mz Novi Železnik,228
361,Franše Deperea,228
1526,Bebelova,228
424,Vračarska,228
1525,Bebelova,228
425,Vračarska,228
3656,Blok 42,228
1980,Kumodraž 1,228
418,Banjica,228
2422,Blok 25,227
797,Ušće,227
2423,Blok 25,227
1345,Milutina Milankovića,227
3331,Blok 61,227
433,Voždovac,227
434,Voždovac,227
7206,Savska Terasa,227
3328,Blok 61,226
2752,Železnik /Centar/,226
6129,Ljubinke Bobić,226
1680,Centralno Groblje,226
1220,Meštrovićeva,226
6135,Marka Ristića,226
2413,27. Marta,226
6138,Milana Vujaklije,226
1692,Dragice Končar 1,226
6788,Bulevar Umetnosti,226
6156,Magelanova,226
1698,Dragice Končar,226
1214,Jovana Bijelića,226
2407,Cvijićeva,226
1674,Ignjata Joba,226
591,Učiteljsko Naselje,226
2401,Hala Aleksandar Nikolić,226
1686,Jovana Bijelića,226
2877,Novi Železnik,225
2865,Braće Mitrović ,225
2859,Železnik (Zlatanovići),225
3067,Blok 42,225
358,Franše Deperea,225
428,Vračarska,225
427,Vračarska,225
422,Banjica,225
421,Banjica,225
365,Zvečanska,225
1529,Bebelova,225
364,Zvečanska,225
1528,Bebelova,225
359,Franše Deperea,225
6174,Žs Pančevački Most,225
6132,Marka Ristića,224
6675,Milana Vujaklije,224
6411,Magelanova,224
1217,Jovana Bijelića,224
1223,Meštrovićeva,224
6169,Despota Đurđa,224
800,Ušće,224
243,Tašmajdan,224
3615,Valjevskog Odreda,224
1562,Blok 42,224
3610,Milana Ajvaza,224
3106,Pante Srećkovića,224
3100,Ljubice Luković,224
6669,Železnička Stanica Novi Beograd,224
4675,Jajinci /Dom Zdravlja/,223
6224,Save Jovanovića,223
4681,Milutina Miljkovića,223
4687,Spomen Park Jajinci,223
4693,Rakovica Selo (Spomen Česma),223
4699,Rakovica Selo,223
4705,Kružni Put,223
3103,Pante Srećkovića,223
3097,Ljubice Luković,223
6427,Kumodraž,222
6789,Bulevar Umetnosti,222
1677,Centralno Groblje,222
1683,Jovana Bijelića,222
1689,Dragice Končar 1,222
1695,Dragice Končar,222
3307,Ledine,222
5119,Tošin Bunar,222
240,Tašmajdan,222
4549,Prvomajska,222
246,Rk Beograđanka,222
2547,Avalska,222
414,Voždovac,222
1671,Ignjata Joba,222
5785,Put Za Src,221
5116,Tošin Bunar,221
4713,Pošta,221
4719,Avala,221
1799,Aleksandra Belića,220
1808,Mirijevo 4,220
3490,Bežanijska Kosa (Ulaz),220
6,Tadeuša Košćuška,220
0,Kalemegdan (Donji Grad),220
2327,Rada Končara /Dom Zdravlja/,220
1062,Dom Zdravlja Voždovac,220
2333,Oš Petar Kočić,220
2021,Milivoja Perovića,220
2868,Mz Novi Železnik,220
5168,Crkva,219
5144,Malinjak,219
4716,Pošta,219
4722,Avala,219
6059,Surčin /Centar/,219
8868,Trg Slavija,219
1539,Karaburma 2,219
5141,Malinjak,219
8869,Trg Slavija,219
5147,Galovica,219
5171,Marka Raba,219
5150,Galovica,219
3435,Stojana Aralice,219
5177,Skopljanska,219
5153,Orešac,219
5156,Orešac,219
5159,Surčin /Ulaz/,219
5174,Marka Raba,219
5162,Surčin /Ulaz/,219
9039,Bolnica,219
5165,Crkva,219
3441,Nikole Dobrovića,219
5180,Skopljanska,219
3353,Coca-Cola,219
3376,Naselje Ekonomija,219
3382,Belarička,219
2548,Avalska,219
4096,Lešće /Groblje/,219
3388,Batajnica (Ulaz),219
3400,Braće Smiljanić,218
3406,Majke Jugovića,218
809,Palata Srbija,218
2755,Železnik /Centar/,218
3385,Batajnica (Ulaz),218
3394,Maksima Brankovića,218
3379,Naselje Ekonomija,218
5361,Ugrinovci,218
2874,Novi Železnik,218
2862,Braće Mitrović ,218
3412,Batajnica (Centar),218
2856,Železnik (Zlatanovići),218
4023,Gorica,218
4857,Gorica,218
8828,Put Za Src,218
7661,Belarička,218
4848,Žikice Jovanovića,218
4851,Sare Bernar,218
4854,Sare Bernar,218
4863,Sremčica /Ulaz/,218
9032,Beograd Na Vodi,218
9042,Bolnica,218
3,Tadeuša Košćuška,218
562,Šumice,217
1451,Miloja Zakića,216
1445,Luke Vojvodića,216
1439,Pionirski Grad,216
2330,Rada Končara /Dom Zdravlja/,216
1538,Trg Republike,216
1433,Sc  Košutnjak,216
1705,Naselje Braće Jerković,216
1427,Žarkovačka,216
9314,Peđe Milosavljevića 1,216
3356,Coca-Cola,216
812,Palata Srbija,216
1421,Petra Lekovića,216
280,Milutina Milankovića,216
2305,Ugrinovačka,216
2299,Dušanova,216
548,Škola Vojislav Ilić,216
281,Milutina Milankovića,216
623,Jaše Prodanovića,216
622,Jaše Prodanovića,216
257,Staro Sajmište,216
256,Staro Sajmište,216
1442,Luke Vojvodića,215
1436,Pionirski Grad,215
1448,Miloja Zakića,215
1418,Petra Lekovića,215
1454,Ratka Mitrovića,215
1483,Vidikovac,215
5509,Franje Krča,215
5503,Vrtić Bubamara,215
1430,Sc  Košutnjak,215
5497,Braće Krnješevac,215
2296,Dušanova,215
2139,Kumodraž 1,215
1424,Žarkovačka,215
1963,Mz Kumodraž,215
1998,Gundulićev Venac,215
3332,Blok 61,215
1711,Milutina Milankovića,215
1787,Mirijevo 2,215
1992,Vojvode Dobrnjca,215
4682,Milutina Miljkovića,214
4694,Rakovica Selo (Spomen Česma),214
284,Milutina Milankovića,214
6225,Save Jovanovića,214
283,Milutina Milankovića,214
1796,Aleksandra Belića,214
9241,Slavka Rodića,214
4676,Jajinci /Dom Zdravlja/,214
1802,Milivoja Perovića,214
4688,Spomen Park Jajinci,214
5123,Ledine,214
3451,Bežanijska Kosa (Izlaz),214
4700,Rakovica Selo,214
1805,Mirijevo 4,214
4706,Kružni Put,214
2564,13.Oktobra,213
625,Jaše Prodanovića,213
6469,Groblje Zbeg,213
6177,Šest Kaplara,213
104,Pravni Fakultet,213
5646,Kotež,213
5681,Surčin /Mlin/,213
6463,Mali Zbeg,213
1484,Vidikovac,213
5204,Braće Nikolić,213
6304,Pretok,213
626,Jaše Prodanovića,213
631,Zdravka Čelara,213
632,Zdravka Čelara,213
3329,Blok 61,213
5198,Krušedolska,213
103,Pravni Fakultet,213
5126,Ledine,212
557,Rimska,212
6301,Pretok,212
6460,Mali Zbeg,212
6466,Groblje Zbeg,212
5124,Ledine,212
3711,Bratstva I Jedinstva,212
5690,Save Jovanovića,211
877,Vojni Put,211
4678,Milutina Miljkovića,211
2945,Milorada Draškovića,211
1960,Mz Kumodraž,211
4702,Kružni Put,211
2753,Železnik /Centar/,211
883,Branko Plećaš,211
5201,Braće Nikolić,211
871,Prvomajska,211
5195,Krušedolska,211
5189,Surčin /Centar/,211
4690,Rakovica Selo (Spomen Česma),211
2933,Jedanaeste Krajiške Divizije,211
5678,Surčin /Mlin/,211
2939,Generala Zgonjanina,211
4672,Jajinci /Dom Zdravlja/,211
1784,Mirijevo 2,211
2951,Rasinska,211
4684,Spomen Park Jajinci,211
4696,Rakovica Selo,211
6686,Batajnica /Železnička Stanica/,210
874,Vojni Put,210
880,Branko Plećaš,210
901,Karaburma 2,210
1781,Mirijevski Venac,210
3417,Batajnica /Železnička Rampa/,210
902,Karaburma 2,210
868,Prvomajska,210
4650,Voždovac,210
3581,Nova Galenika,210
862,Rada Končara,210
2693,Vidikovac,210
3370,Ciglana,209
5196,Krušedolska,209
5199,Krušedolska,209
5202,Braće Nikolić,209
6271,Brđanska,209
5205,Braće Nikolić,209
3341,Geomašina,209
3428,Sc 11. April,209
5488,Institut Za Kukuruz,209
5494,Braće Krnješevac,209
1995,Gundulićev Venac,209
2561,13.Oktobra,209
5500,Vrtić Bubamara,209
5679,Surčin /Mlin/,209
5682,Surčin /Mlin/,209
1340,Bulevar Kralja Aleksandra,209
1989,Vojvode Dobrnjca,209
4806,Palih Boraca,209
3359,Elektronska Industrija,209
2550,Avalska,209
1702,Naselje Braće Jerković,209
5190,Surčin /Centar/,209
3098,Ljubice Luković,208
2003,Trg Republike,208
5172,Marka Raba,208
9254,Trg Slavija,208
5178,Skopljanska,208
5166,Crkva,208
5142,Malinjak,208
5160,Surčin /Ulaz/,208
3373,Ciglana,208
449,Kneza Višeslava,208
448,Kneza Višeslava,208
5127,Ledine,208
2890,Valjevska,208
3104,Pante Srećkovića,208
5154,Orešac,208
5148,Galovica,208
2884,Vodovodska,208
2909,Jablanička,207
3431,Sc 11. April,207
8283,Novi Beograd (Blok 20),207
2915,Kneževac,207
2908,Jablanička,207
3107,Pante Srećkovića,207
3101,Ljubice Luković,207
3313,Blok 44,207
3319,Dom Zdravlja Blok 44,207
2914,Kneževac,207
2232,Konjarnik,206
3344,Geomašina,206
4807,Palih Boraca,206
2551,Avalska,206
3583,Zemun /Bačka/,206
2942,Generala Zgonjanina,206
6060,Surčin /Centar/,206
2936,Jedanaeste Krajiške Divizije,206
6272,Brđanska,206
5145,Malinjak,206
5151,Galovica,206
3362,Elektronska Industrija,206
5157,Orešac,206
5181,Skopljanska,206
3310,Blok 44,206
2948,Milorada Draškovića,206
5175,Marka Raba,206
3316,Dom Zdravlja Blok 44,206
5163,Surčin /Ulaz/,206
5169,Crkva,206
2954,Rasinska,206
4551,Prvomajska,205
1663,Miška Jovanovića,205
1889,Rospi Ćuprija,205
1669,Peke Pavlovića,205
1208,Sc Sport Eko,204
1825,Dušanovac /Pošta/,204
1952,Oktobarska,204
1816,Južni Bulevar,204
2149,Stadion Rajko Mitić,204
1063,Dom Zdravlja Voždovac,204
1819,Stratimirovićeva,204
3547,Zemun /Bačka/,204
3308,Ledine,204
1937,Kalemarska,204
1190,Naselje Braće Jerković,204
3606,Mihajla Šolohova,204
5630,Borča Raskršće,204
1196,Braće Jerković (Mitrovo Brdo),204
1822,Go Voždovac,204
2158,Narodnog Heroja Milana Tepića,204
2918,Kneževac,204
2143,Trg Oslobođenja,204
4550,Prvomajska,204
2917,Kneževac,204
6063,Miljakovac 3,204
4933,Naselje Petlovo Brdo,203
1211,Sc Sport Eko,203
1193,Naselje Braće Jerković,203
1199,Braće Jerković (Mitrovo Brdo),203
9236,Studentski Trg,203
7188,Slavka Rodića,203
4934,Naselje Petlovo Brdo,203
4697,Rakovica Selo,202
4679,Milutina Miljkovića,202
4937,Naselje Petlovo Brdo,202
4936,Naselje Petlovo Brdo,202
4703,Kružni Put,202
5691,Save Jovanovića,202
4685,Spomen Park Jajinci,202
4673,Jajinci /Dom Zdravlja/,202
4691,Rakovica Selo (Spomen Česma),202
1064,Dom Zdravlja Voždovac,202
2152,Stadion Rajko Mitić,202
2146,Trg Oslobođenja,202
2155,Šekspirova,202
6476,Zemun Polje,201
5492,Institut Za Kukuruz,201
1295,Mirijevo 3,201
2756,Železnik /Centar/,201
4020,Železnička Stanica Rakovica,201
5575,Železnik /Savska/,201
2989,Julino Brdo,201
5626,Put Za Železnik,201
3001,Bele Vode,201
4821,Kongrap,201
2995,Ilije Đuričića,201
1778,Mirijevski Venac,201
3915,Put Za Železnik,200
4818,Kongrap,200
1757,Ladne Vode,200
4614,Stepe Stepanovića,200
5770,Železnik /Savska/,200
4602,Dom Zdravlja,200
6678,Nikole Doksata,200
4620,Željka Milivojevića,200
6633,Bosutska,200
1337,Mite Ružića,200
4608,Kopaonička,200
1721,Generala Aračića,200
1745,Ćalije,200
1733,Triglavska,200
4017,Železnička Stanica Rakovica,200
1727,Marijane Gregoran,200
1751,Sime Trojanovića,200
1739,Astronomska,200
4,Tadeuša Košćuška,199
2881,Vodovodska,199
5,Tadeuša Košćuška,199
2887,Valjevska,199
6267,Josipa Telarevića,199
3068,Blok 42,199
1730,Triglavska,198
3125,Nikole Doksata,198
6630,Bosutska,198
8,Tadeuša Košćuška,198
5513,Zemun Polje,198
1718,Generala Aračića,198
5507,Franje Krča,198
1742,Ćalije,198
2,Kalemegdan (Donji Grad),198
1660,Miška Jovanovića,198
9262,Palata Pravde 1,198
3151,Narodnih Heroja,198
4590,Zvezdara /Pijaca/,198
1666,Peke Pavlovića,198
1,Kalemegdan (Donji Grad),198
1754,Ladne Vode,198
1736,Astronomska,198
1790,Mirijevo,198
7,Tadeuša Košćuška,198
1748,Sime Trojanovića,198
1724,Marijane Gregoran,198
6785,Bulevar Umetnosti,198
5050,Španskih Boraca,198
3390,Maksima Brankovića,197
6894,Oštreljska,197
6394,Stari Železnik,197
3402,Majke Jugovića,197
3396,Braće Smiljanić,197
5631,Borča Raskršće,197
3607,Mihajla Šolohova,197
2264,Gandijeva,196
1486,Dorćol /Src Milan Gale Muškatirović/,196
1487,Dorćol /Src Milan Gale Muškatirović/,196
2986,Julino Brdo,196
3434,Stojana Aralice,196
2992,Ilije Đuričića,196
2998,Bele Vode,196
6891,Oštreljska,195
3193,Milutina Milankovića,195
3320,Dom Zdravlja Blok 44,195
1709,Trg Republike,195
3314,Blok 44,195
7780,Bolnica Dragiša Mišović,194
7132,Iv Beogradska Gimnazija,194
5051,Španskih Boraca,194
6786,Bulevar Umetnosti,194
7126,Teodora Drajzera 2,194
7075,Teodora Drajzera,194
4623,Radisava Ignjatovića,193
1706,Naselje Braće Jerković,193
4617,Željka Milivojevića,193
4605,Kopaonička,193
3311,Blok 44,193
4599,Dom Zdravlja,193
3034,Staro Sajmište,193
3317,Dom Zdravlja Blok 44,193
4611,Stepe Stepanovića,193
4225,Zdravstvena St. Leštane I Vinča,193
6270,Brđanska,192
1955,Palih Boraca,192
6264,Josipa Telarevića,192
3194,Milutina Milankovića,191
480,Omladinskih Brigada 1,191
2891,Valjevska,191
2383,Škola Vojislav Ilić,191
2885,Vodovodska,191
2377,Đerdapska,191
4587,Zvezdara /Pijaca/,191
3491,Bežanijska Kosa (Ulaz),191
9311,Mileševska,191
2368,Maksima Gorkog,191
2362,Mihajla Gavrilovića,191
3186,Španskih Boraca,191
6153,Žs Pančevački Most,190
1255,Trg Oslobođenja,190
2405,Cvijićeva,190
6297,Kosovopoljska,190
9312,Mileševska,190
5045,Hala Aleksandar Nikolić,190
6296,Kosovopoljska,190
2411,27. Marta,190
1249,Prešernova,190
1252,Prešernova,190
2417,Pravni Fakultet,190
3503,Pukovnika Petra Mišića,190
7537,Topčiderski Park,190
3471,Bežanijska Kosa,190
1637,Kumodraž 2,190
8018,Trg Oslobođenja,190
7054,Teodora Drajzera,190
1631,Junska,190
1625,Put Za Kumodraško Groblje,190
7123,Iv Beogradska Gimnazija,190
1619,Dušana Jovanovića ,190
7129,Teodora Drajzera 2,190
1613,Preduzeće Petar Velebit,190
1601,Voždovački Kružni Put,190
1703,Naselje Braće Jerković,190
1607,Preduzeće Izolacija,190
3452,Bežanijska Kosa (Izlaz),189
1640,Kumodraž 2,189
1628,Put Za Kumodraško Groblje,189
786,Zeleni Venac,189
1200,Beogradska Arena,189
1616,Preduzeće Petar Velebit,189
2402,Hala Aleksandar Nikolić,189
1634,Junska,189
4467,Ustanička,189
7575,Pukovnika Petra Mišića,189
1610,Preduzeće Izolacija,189
1622,Dušana Jovanovića ,189
1604,Voždovački Kružni Put,189
4585,Vml,189
1791,Omladinski Stadion,189
2408,Cvijićeva,189
2414,27. Marta,189
2386,Zvezdara,188
8287,Šest Kaplara,188
237,Banovo Brdo Ok,188
2359,Mihajla Gavrilovića,188
2374,Đerdapska,188
2380,Škola Vojislav Ilić,188
438,Hipodrom,188
441,Hipodrom,187
474,Banovo Brdo,187
2736,Dorćol /Src Milan Gale Muškatirović/,187
3472,Bežanijska Kosa,187
245,Tašmajdan,187
1540,Karaburma 2,187
563,Šumice,187
244,Tašmajdan,187
247,Rk Beograđanka,186
2990,Julino Brdo,186
7309,Novogradska,186
872,Prvomajska,186
6439,Železnička Stanica Zemun Polje,186
1026,Beogradska Arena,186
878,Vojni Put,186
884,Branko Plećaš,186
894,Antifašističke Borbe,186
3002,Bele Vode,186
2996,Ilije Đuričića,186
3762,Padinska Skela,186
242,Tašmajdan,186
241,Tašmajdan,186
4831,Nićiforovićeva,186
4837,Železnička Rampa,186
3744,Naselje Tovilište,186
3750,Marije Ilić Agapove,186
4542,Vinča,186
8786,Petlja Radnička,186
248,Rk Beograđanka,186
4843,Stevana Filipovića,186
3756,Ratomira Stojadinovića,186
4832,Nićiforovićeva,185
881,Branko Plećaš,185
869,Prvomajska,185
875,Vojni Put,185
863,Rada Končara,185
4838,Železnička Rampa,185
7312,Novogradska,185
4844,Stevana Filipovića,185
575,Konjarnik,184
3765,Padinska Skela,184
2306,Ugrinovačka,184
8930,Vii Beogradska Gimnazija,184
6256,Naselje Tovilište,184
7153,Mirijevo,184
3759,Ratomira Stojadinovića,184
7468,Šejkina,184
7474,Pere Ćetkovića,184
7480,Marijane Gregoran,184
7462,Ladne Vode,184
4846,Žikice Jovanovića,184
7456,Vitezova Karađorđeve Zvezde,184
3403,Majke Jugovića,184
2608,Trošarina,184
4828,Nićiforovićeva,184
4840,Stevana Filipovića,184
7486,Pogon Karaburma,184
3397,Braće Smiljanić,184
4834,Železnička Rampa,184
3391,Maksima Brankovića,184
7078,Mirijevsko Brdo,184
2300,Dušanova,184
3753,Marije Ilić Agapove,184
4829,Nićiforovićeva,183
2882,Vodovodska,183
4841,Stevana Filipovića,183
2888,Valjevska,183
2273,Omladinskih Brigada,183
1975,Kovačka,183
2229,Topčidersko Brdo /Senjak/,183
110,Trg Slavija /Nemanjina/,183
4835,Železnička Rampa,183
4847,Žikice Jovanovića,183
1969,Zemljoradnička,183
109,Trg Slavija /Nemanjina/,183
7294,Novo Naselje,182
7477,Marijane Gregoran,182
7483,Pogon Karaburma,182
4059,Rospi Ćuprija,182
7471,Pere Ćetkovića,182
3018,Novo Naselje,182
4065,Trudbenička,182
4068,Trudbenička,182
7453,Vitezova Karađorđeve Zvezde,182
7663,Mirijevsko Brdo,182
7459,Ladne Vode,182
6895,Mirijevo,182
4086,Lešće,182
4083,Lešće,182
7465,Šejkina,182
4080,Toplana,182
4077,Toplana,182
4074,Višnjika Banja,182
4071,Višnjička Banja,182
8927,Vii Beogradska Gimnazija,182
1590,Husova,181
1596,Pive Karamatijevića,181
5215,Put Za Jakovo,181
5209,Rimski Kanal,181
2297,Dušanova,181
787,Zeleni Venac,181
3152,Narodnih Heroja,181
112,Trg Slavija /Nemanjina/,181
113,Trg Slavija /Nemanjina/,181
3689,Mz Blok 61,180
1499,Trg Republike,180
3683,Blok 62,180
3665,Agostina Neta,180
3677,Blok 63,180
8040,Naselje Belvil,180
2764,Ivo Lola Ribar,180
4350,Begaljica,180
4233,Boleč Raskršće,180
2987,Julino Brdo,179
1978,Kumodraž 1,179
1053,Dušanovac /Pošta/,179
2993,Ilije Đuričića,179
3365,Put Za 13. Maj,179
5206,Rimski Kanal,179
4226,Zdravstvena St. Leštane I Vinča,179
3368,Put Za 13. Maj,179
553,Rimska,179
1972,Kovačka,179
1593,Pive Karamatijevića,179
2999,Bele Vode,179
3112,Veljka Dugoševića,179
1587,Husova,179
5212,Put Za Jakovo,179
3121,Braće Ribnikar,179
1966,Zemljoradnička,179
8402,Mz Resnik,178
2144,Trg Oslobođenja,178
1927,Milića Marinovića,178
1933,Beranska,178
4893,Tomaška,178
3118,Braće Ribnikar,178
4887,Jeličićev Venac,178
2549,Avalska,178
4869,Šumske Ekonomije,178
4881,Sremčica (Centar),178
4875,Obrenovačka,178
3115,Toplička,178
3109,Veljka Dugoševića,178
1939,Kumodraž 2,178
2011,Voždovac,178
2159,Narodnog Heroja Milana Tepića,178
8037,Naselje Belvil,178
4899,Tesarska,178
4917,Sremčica /Izlaz/,178
3686,Mz Blok 61,178
4905,Mirkovićeva,178
2150,Stadion Rajko Mitić,178
3662,Agostina Neta,178
3680,Blok 62,178
3659,Blok 61,178
3674,Blok 63,178
4911,Vašarska,178
4860,Sremčica /Ulaz/,177
4866,Šumske Ekonomije,177
1964,Mz Kumodraž,177
4914,Sremčica /Izlaz/,177
4884,Jeličićev Venac,177
4896,Tesarska,177
4920,Sremčica,177
4872,Obrenovačka,177
4878,Sremčica (Centar),177
4908,Vašarska,177
4890,Tomaška,177
4902,Mirkovićeva,177
4230,Boleč Raskršće,177
3567,Galenika ,176
3611,Milana Ajvaza,176
1924,Milića Marinovića,176
8826,Put Za Beli Potok,176
3616,Valjevskog Odreda,176
