,DC,CC,BC,EVC
Cvijićeva(354),0.0009587727708533077,0.05521732225104558,0.050027337623752444,0.03918752402091495
Crkva(1771),0.0006391818472355385,0.03635539753912649,0.049985285918092356,3.8124983875839177e-11
Marka Raba(1773),0.0006391818472355385,0.03520992044290907,0.049412651456273396,8.817116513652089e-12
Krušedolska(1781),0.001278363694471077,0.032177123289079936,0.04939050227739434,2.0495804587123799e-13
Skopljanska(1775),0.0006391818472355385,0.03413740058259418,0.04884206041468216,2.061295972057953e-12
Džona Kenedija(307),0.0015979546180888463,0.05164303751506049,0.04876778257528556,0.00022990667096437655
Hasanaginica(1131),0.0006391818472355385,0.05500958140679665,0.04875417077979794,4.2080189437148446e-05
Surčin /Centar/(2075),0.0009587727708533077,0.033131094946158,0.04847673093496691,5.475696186805643e-13
Bulevar Maršala Tolbuhina(373),0.0015979546180888463,0.05482740494130016,0.04837012470199864,0.0003465553266915109
Koste Živkovića(1229),0.0006391818472355385,0.05287884677133152,0.048287921153792546,9.148754068444037e-06
Košutnjak(1384),0.0006391818472355385,0.05115001716443529,0.04788685955222364,2.007400246351916e-06
Put Za Železnik(1931),0.0009587727708533077,0.059369307832422585,0.04738588387590716,0.0017624710202434994
Surčin /Mlin/(1949),0.0006391818472355385,0.03123752096477917,0.047309777346262134,4.8318840078980284e-14
Braće Nikolić(1783),0.0009587727708533077,0.030351825086573997,0.04673319227200288,1.2067602936401698e-14
Palata Pravde 1(3736),0.0015979546180888463,0.06358980612120473,0.046639328682748574,0.008652464897157618
Pančevački Most(349),0.0009587727708533077,0.05098333143238883,0.04628887539006792,0.002581229125719122
Novo Naselje /Rušanj/(1698),0.0009587727708533077,0.04294007053753997,0.045882281158907946,4.850996023248974e-09
Put Za Src(1984),0.0009587727708533077,0.029514691317266424,0.04558489227502714,3.023998482762336e-15
Naselje Petlovo Brdo(1692),0.002556727388942154,0.04395650708024275,0.045171061396537385,1.6134664705602374e-08
Pijaca(959),0.0015979546180888463,0.05103072607476026,0.04490878490170454,5.338098644483816e-06
Ivo Lola Ribar(960),0.001278363694471077,0.05304019120912651,0.04470910788369616,2.10865165525155e-05
Put Za Beli Potok(1631),0.0009587727708533077,0.0360625129659083,0.04457081811999874,6.53222201174978e-13
Mostar(396),0.0006391818472355385,0.06210304858685297,0.0443492590076614,0.002903923612770042
Džona Kenedija 1(3513),0.0006391818472355385,0.05270782447570117,0.044014817493513124,0.00012032412567539138
