,index,BC_lovain
285,Bolnica Dragiša Mišović(279),2.6564462960556267e-06
947,Zemljoradnička(691),2.6564462960556267e-06
1272,Vijadukt(945),2.6564462960556267e-06
1129,Boleč /Pumpa/(2103),2.6564462960556267e-06
379,Sc 11. April(1184),2.6564462960556267e-06
868,Milutina Milankovića(482),2.6564462960556267e-06
373,Studentska(1116),2.6564462960556267e-06
154,Tetovska(560),2.6564462960556267e-06
123,Omladinski Stadion/Izlaz/(1093),2.6564462960556267e-06
365,Prilaz(463),2.6564462960556267e-06
461,Husova(563),2.6564462960556267e-06
706,Šumice(217),2.6053607903622492e-06
665,Šumice - Okretnica(744),2.5883322884644566e-06
833,Kirovljeva(504),2.571303786566664e-06
777,Gandijeva(2325),2.554275284668872e-06
610,Karađorđev Trg(310),2.554275284668872e-06
291,Kanarevo Brdo(867),2.452104273282117e-06
862,Hipodrom(178),2.452104273282117e-06
1046,Galenika (1230),2.452104273282117e-06
973,Zemun /Novi Grad/(333),2.452104273282117e-06
92,Dušana Radovića(835),2.452104273282117e-06
536,Banatska(2522),2.452104273282117e-06
153,Južni Bulevar(558),2.452104273282117e-06
872,Španskih Boraca(1731),2.452104273282117e-06
1375,Timočki Put (Ulaz)(2934),2.452104273282117e-06
498,Mostar(395),2.452104273282117e-06
1396,Mostar(17),2.452104273282117e-06
309,Stevana Lukovića(1742),2.452104273282117e-06
467,Braće Jerković (Mitrovo Brdo)(433),2.452104273282117e-06
946,Kovačka(693),2.452104273282117e-06
563,Husinjskih Rudara(337),2.452104273282117e-06
885,Škola Vojislav Ilić(831),2.452104273282117e-06
831,Topčiderski Park(2583),2.452104273282117e-06
1314,Železnička Stanica Ripanj(2003),2.452104273282117e-06
593,Hala Aleksandar Nikolić(837),2.452104273282117e-06
909,Ivo Lola Ribar(960),2.452104273282117e-06
485,Braće Jerković (Mitrovo Brdo)(432),2.452104273282117e-06
735,Gandijeva(1194),2.452104273282117e-06
779,Nehruova(788),2.452104273282117e-06
269,Vatrogasna Komanda(78),2.452104273282117e-06
966,Bratstva I Jedinstva(1274),2.349933261895362e-06
1243,Dobanovačka Petlja(2252),2.349933261895362e-06
583,Vojvode Dobrnjca(699),2.349933261895362e-06
32,Birčaninova(638),2.349933261895362e-06
728,Ljubinke Bobić(2097),2.349933261895362e-06
736,Crkva Sv. Georgija(1136),2.2477622505086072e-06
636,Hasanaginica(1131),2.2477622505086072e-06
1112,Gradska Bolnica(83),2.2477622505086072e-06
6,Trg Oslobođenja(751),2.2477622505086072e-06
2,Trg Oslobođenja(845),2.2477622505086072e-06
1256,13.Oktobra(894),2.2477622505086072e-06
437,Blok 24(1106),2.2477622505086072e-06
796,Omladinskih Brigada 1(191),2.2477622505086072e-06
505,Beogradska Arena /Španskih Boraca/(237),2.2477622505086072e-06
929,Bačvanska(230),2.2477622505086072e-06
243,Tehnički Fakulteti(584),2.2477622505086072e-06
1173,Surčin /Centar/(1778),2.2477622505086072e-06
230,Go Voždovac(642),2.2477622505086072e-06
487,Dragice Končar(599),2.2477622505086072e-06
582,Cvijićeva(492),2.2477622505086072e-06
1211,Surčin /Mlin/(1948),2.2477622505086072e-06
419,Beogradska Arena(820),2.2477622505086072e-06
874,Seme(1968),2.2477622505086072e-06
1299,Žarka Jelića(1819),2.2477622505086072e-06
986,Vinjage(2836),2.2477622505086072e-06
116,Sup Palilula(549),2.2477622505086072e-06
916,Pijaca(959),2.2477622505086072e-06
889,Rimska(223),2.19667674481523e-06
262,Dušanova(531),2.154105490070749e-06
682,Trg Branka Radičevića(413),2.1455912391218524e-06
335,Miljakovac 1 – Okretnica(2486),2.1455912391218524e-06
674,Džona Kenedija(307),2.1455912391218524e-06
962,Zrenjaninski Put(1203),2.1455912391218524e-06
111,"Vmc ""Karaburma""(81)",2.1455912391218524e-06
149,Takovska(59),2.1455912391218524e-06
639,Topčiderska Zvezda(774),2.1115342353262676e-06
634,Srpskih Udarnih Brigada(866),2.0434202277350975e-06
670,Škola Vojislav Ilić(214),2.0434202277350975e-06
1346,Stevana Filipovića(1661),2.0434202277350975e-06
502,Grčića Milenka(383),2.0434202277350975e-06
193,Tašmajdan(536),2.0434202277350975e-06
30,27. Marta(840),2.0434202277350975e-06
509,Palata Srbija(365),2.0434202277350975e-06
884,Blok Sutjeska(1906),2.0434202277350975e-06
486,Naselje Braće Jerković(601),2.0434202277350975e-06
751,Narodnih Heroja(1090),2.0434202277350975e-06
29,Pravni Fakultet(842),2.0434202277350975e-06
622,Petlovo Brdo(949),2.0434202277350975e-06
822,Jrb(1061),2.0434202277350975e-06
555,Omladinski Stadion /Ulaz/(1092),2.0434202277350975e-06
207,Voždovac(174),2.0434202277350975e-06
808,Gučevska(2314),2.0434202277350975e-06
1001,Mirijevska(1431),2.0434202277350975e-06
576,Farmaceutski Fakultet(2128),2.0434202277350975e-06
914,Stevana Filipovića(1662),2.0434202277350975e-06
224,Prešernova(450),2.0434202277350975e-06
860,Dom Zdravlja(184),2.0434202277350975e-06
1339,Vizantijska (1574),2.0434202277350975e-06
287,Teodora Drajzera 2(2440),2.0434202277350975e-06
1371,Put Za Aluge(2796),2.0434202277350975e-06
433,Blok 26(2382),2.0434202277350975e-06
531,Studentski Grad(1740),2.0434202277350975e-06
651,Kalemegdan(4),2.0434202277350975e-06
1319,Put Za Milovanoviće(2006),2.0434202277350975e-06
527,Fontana(455),2.0434202277350975e-06
259,Džordža Vašingtona(355),2.04050105598119e-06
52,Voždovac(1598),2.026391725837305e-06
215,Pet Solitera(858),2.0093632239395127e-06
1128,Skladište Boja(1537),2.0093632239395123e-06
655,Braće Baruh(71),1.9412492163483427e-06
879,Kneza Miloša(1217),1.9412492163483427e-06
211,Saobraćajni Fakultet(168),1.9412492163483427e-06
800,Gandijeva(791),1.9412492163483427e-06
339,Vidikovac(937),1.9071922125527574e-06
1042,Institut Za Kukuruz(1882),1.9071922125527574e-06
400,Novi Beograd /Paviljoni/(377),1.8646209578082765e-06
948,Mz Kumodraž(689),1.8390782049615878e-06
939,Batutova(2542),1.8390782049615878e-06
1029,Belarička(2630),1.8390782049615878e-06
1115,Batutova(97),1.8390782049615878e-06
1149,"Oš ""Dragojlo Dudić""(1432)",1.8390782049615878e-06
316,Košutnjak(1384),1.8390782049615878e-06
1356,Put Za Zaklopaču(1467),1.8390782049615878e-06
321,Mz Vidikovac(522),1.8390782049615878e-06
927,Internacionalnih Brigada(544),1.8390782049615878e-06
1140,Put Za Kaluđericu(1439),1.8390782049615878e-06
200,Resnik /Ulaz/(888),1.8390782049615878e-06
723,Nikole Dobrovića(1187),1.8390782049615878e-06
1158,Čardak(1446),1.8390782049615878e-06
1047,Geomašina(1154),1.8390782049615878e-06
355,Braće Vučković(915),1.8390782049615878e-06
9,Stratimirovićeva(389),1.8390782049615878e-06
1100,Ljiljane Krstić(2702),1.8390782049615878e-06
1049,Save Mrkalja(1278),1.8390782049615878e-06
1052,Naselje Ekonomija(1166),1.8390782049615878e-06
548,Grčića Milenka(232),1.8390782049615878e-06
100,Astronomska(613),1.8390782049615878e-06
520,Savski Trg (Savska)(1726),1.8390782049615878e-06
1152,Put Za Kaluđericu(1438),1.8390782049615878e-06
971,Ikarbus(2677),1.8390782049615878e-06
749,Fakultet Dramskih Umetnosti(1098),1.8390782049615878e-06
898,Železnik /Savska/(1979),1.8390782049615878e-06
753,Omladinskih Brigada 1(453),1.8390782049615878e-06
507,Blok 26(2383),1.8390782049615878e-06
774,Omladinskih Brigada(2437),1.8390782049615878e-06
775,Omladinskih Brigada(794),1.8390782049615878e-06
501,Vladimira Tomanovića(2907),1.8390782049615878e-06
972,Ikarbus(2678),1.8390782049615878e-06
1280,Aleksandra Vojinovića(895),1.8390782049615878e-06
964,Pretok(2156),1.8390782049615878e-06
623,Naselje Vinogradi(2135),1.8390782049615878e-06
282,Cvijićeva(838),1.8390782049615878e-06
702,Beograd Na Vodi(3117),1.8050212011660026e-06
1053,Zemun Park(2740),1.736907193574833e-06
1054,Put Za Novi Sad(2277),1.736907193574833e-06
341,Vidikovac(822),1.736907193574833e-06
1119,Boleč /Crkva/(1715),1.736907193574833e-06
841,Valjevska(1002),1.736907193574833e-06
246,Skadarska(357),1.716959519923133e-06
260,Trg Republike(546),1.6858216878814555e-06
334,Ulica Oslobođenja (741),1.668793185983663e-06
873,Kongrap(1655),1.6347361821880781e-06
1176,Malinjak(1763),1.6347361821880781e-06
1208,Malinjak(1762),1.6347361821880781e-06
893,Mpi(827),1.6347361821880781e-06
928,Go Vračar(2499),1.6347361821880781e-06
1179,Vikend Naselje(1761),1.6347361821880781e-06
1207,Vikend Naselje(1760),1.6347361821880781e-06
866,Kneza Višeslava(2234),1.6347361821880781e-06
786,Vojvođanska(1207),1.6347361821880781e-06
1199,Vinogradska (Plandište)(2767),1.6347361821880781e-06
821,Gp Rad(1064),1.6347361821880781e-06
824,Topčiderski Park(2449),1.6347361821880781e-06
755,Generala Nedeljkovića(1200),1.6347361821880781e-06
1107,Oslobođenja(1702),1.6347361821880781e-06
423,Zmaj(1854),1.6347361821880781e-06
1406,Avalski Cvet(2407),1.6347361821880781e-06
98,Ćalije(615),1.6347361821880781e-06
320,Vareška(3695),1.6347361821880781e-06
631,Pilota Mihajla Petrovića(1266),1.6347361821880781e-06
512,Muzej Jugoslavije(275),1.6347361821880781e-06
107,Vatrogasna Komanda(77),1.6347361821880781e-06
357,Novo Naselje(954),1.6347361821880781e-06
358,Kružni Put(2299),1.6347361821880781e-06
361,Bačka(2521),1.6347361821880781e-06
606,Muzej Savremene Umetnosti(3115),1.6347361821880781e-06
268,Južni Bulevar(557),1.6347361821880781e-06
227,Mihajla Gavrilovića(824),1.6347361821880781e-06
1341,Vladimira Ćorovića (Ulaz)(3058),1.6347361821880781e-06
342,Serdar Janka Vukotića(1015),1.6347361821880781e-06
1262,Pružni Prelaz(2981),1.6347361821880781e-06
440,Antifašističke Borbe(375),1.6347361821880781e-06
579,Vitezova Karađorđeve Zvezde(2555),1.6347361821880781e-06
464,Miška Jovanovića(587),1.6347361821880781e-06
466,Jovana Bijelića(439),1.6347361821880781e-06
581,Cvijićeva(1034),1.6347361821880781e-06
881,Savski Most(3142),1.600679178392493e-06
935,Škola Vojislav Ilić(213),1.5836506764947007e-06
689,Filipa Višnjića(421),1.5325651708013233e-06
234,Franše Deperea(151),1.5325651708013233e-06
699,Palata Srbija(304),1.532565170801323e-06
846,Julino Brdo(722),1.4985081670057382e-06
1335,Ulica Oslobođenja (740),1.4814796651079456e-06
891,Rimska(224),1.4814796651079456e-06
882,Savski Trg (Savska)(478),1.4644511632101532e-06
1386,Oš 14. Oktobar(1749),1.4303941594145682e-06
996,Rudo(484),1.4303941594145682e-06
228,Južni Bulevar(640),1.4303941594145682e-06
1357,Usek(1469),1.4303941594145682e-06
817,Seme(1969),1.4303941594145682e-06
236,Dinarska(2802),1.4303941594145682e-06
1372,Pavićevac 1(2798),1.4303941594145682e-06
1370,Ripanj /Centar/(2012),1.4303941594145682e-06
959,Borča Raskršće(1250),1.4303941594145682e-06
519,Drinska(913),1.4303941594145682e-06
1034,Metro(2842),1.4303941594145682e-06
195,Pošta(1620),1.4303941594145682e-06
1004,Mirka Sandića(3169),1.4303941594145682e-06
270,Veljka Dugoševića(1077),1.4303941594145682e-06
249,Šest Kaplara(2114),1.4303941594145682e-06
1020,Orlovača /Ulaz/(2243),1.4303941594145682e-06
580,Cvijićeva(353),1.4303941594145682e-06
572,Diljska(658),1.4303941594145682e-06
403,Španskih Boraca(367),1.4303941594145682e-06
1198,Vinogradska (Ulaz)(2649),1.4303941594145682e-06
489,Sc Sport Eko(436),1.4303941594145682e-06
743,Marka Oreškovića(247),1.4303941594145682e-06
490,Dragice Končar 1(597),1.4303941594145682e-06
368,Ix Beogradska Gimnazija(458),1.4303941594145682e-06
1116,Lion(95),1.4303941594145682e-06
499,Dušanovac /Pošta/(385),1.4303941594145682e-06
925,Ostružnica 2(1982),1.4303941594145682e-06
926,Bore Stankovića(2137),1.4303941594145682e-06
698,Trg Branka Radičevića(414),1.4303941594145682e-06
508,Blok 24(1105),1.4303941594145682e-06
1101,Ugrinovački Put 12. Deo(2704),1.4303941594145682e-06
643,Stadion Partizan(278),1.4303941594145682e-06
707,Rimska(215),1.4303941594145682e-06
638,Muzej Jugoslavije(276),1.4303941594145682e-06
1273,Miška Kranjca(2461),1.3963371556189832e-06
664,Šumice(380),1.3622801518233981e-06
628,Susedgradska(3043),1.3282231480278133e-06
1295,Stevana Jovanovića(1815),1.3282231480278133e-06
649,Tadeuša Košćuška(3),1.3282231480278133e-06
302,Miljakovac 1(873),1.3282231480278133e-06
788,Pijaca Blok 44(1213),1.3282231480278133e-06
1298,Zemunska(2265),1.3282231480278133e-06
598,Trg Republike(533),1.2601091404366433e-06
469,Zaplanjska(429),1.2260521366410585e-06
896,Smiljanićeva(541),1.2260521366410585e-06
1355,Bećarevo Brdo(1465),1.2260521366410585e-06
823,Hipodrom(177),1.2260521366410585e-06
1200,Vinogradska (Ulaz)(2650),1.2260521366410585e-06
231,Trg Oslobođenja(752),1.2260521366410585e-06
468,Naselje Braće Jerković(431),1.2260521366410585e-06
463,Tetovska(559),1.2260521366410585e-06
458,Pogon Kosmaj(745),1.2260521366410585e-06
566,Put Za Adu Huju(660),1.2260521366410585e-06
549,Vojvode Dragomira(206),1.2260521366410585e-06
1194,Milana Vujaklije(2281),1.2260521366410585e-06
1311,Brankov Most(9),1.2260521366410585e-06
550,Crveni Krst(207),1.2260521366410585e-06
834,Teodora Drajzera 2(2439),1.2260521366410585e-06
987,Milošev Kladenac(2832),1.2260521366410585e-06
273,Patrisa Lumumbe(344),1.2260521366410585e-06
278,Diljska(657),1.2260521366410585e-06
541,Preduzeće Petar Velebit(572),1.2260521366410585e-06
540,Dušana Jovanovića (574),1.2260521366410585e-06
870,Makiška(1977),1.2260521366410585e-06
297,Koste Živkovića(1132),1.2260521366410585e-06
1212,Braće Nikolić(1782),1.2260521366410585e-06
1217,Gradska Bolnica(252),1.2260521366410585e-06
1321,Oš Vojvoda Putnik(1635),1.2260521366410585e-06
859,Kijevska(186),1.2260521366410585e-06
417,Bulevar Zorana Đinđića(1094),1.2260521366410585e-06
1168,Surčin /Mlin/(1949),1.2260521366410585e-06
1387,Slavka Rodića(1747),1.2260521366410585e-06
169,Mileševska(3989),1.2260521366410585e-06
616,Serdar Janka Vukotića(1016),1.2260521366410585e-06
147,Toplička(1078),1.2260521366410585e-06
43,Crkva Sv. Vasilija Ostroškog(853),1.2260521366410585e-06
739,Blok 37(1091),1.2260521366410585e-06
136,Go Zvezdara(88),1.2260521366410585e-06
103,Generala Aračića(607),1.2260521366410585e-06
1251,Slovački Dom(1822),1.2260521366410585e-06
1051,Mali Zbeg(2210),1.2260521366410585e-06
785,Blok 63(1922),1.2260521366410585e-06
769,Nedeljka Gvozdenovića(1192),1.2260521366410585e-06
91,Vitezova Karađorđeve Zvezde(621),1.2260521366410585e-06
1250,Raška Dimitrijevića(1205),1.2260521366410585e-06
73,Pošta(2893),1.2260521366410585e-06
1402,Prnjavor /Ulaz/(2401),1.2260521366410585e-06
1401,Rasadnik(2399),1.2260521366410585e-06
87,Čaršija(1999),1.2260521366410585e-06
1126,Petra Kočića(1451),1.2260521366410585e-06
613,Slavka Šlandera(1053),1.2260521366410585e-06
137,Pravni Fakultet(109),1.2260521366410585e-06
85,1000 Ruža(3890),1.2260521366410585e-06
1099,Juga Grizelja(2308),1.2260521366410585e-06
217,Trg Oslobođenja(846),1.2260521366410585e-06
1114,Vii Beogradska Gimnazija(3075),1.2260521366410585e-06
1006,Zabrđanska(3162),1.2260521366410585e-06
1009,Rudo(483),1.2260521366410585e-06
1010,Mirka Sandića(3168),1.2260521366410585e-06
678,Aleksandra Dubčeka(312),1.2260521366410585e-06
1015,Lošinjska Donja(3159),1.2260521366410585e-06
1021,Oslobođenja(1701),1.2260521366410585e-06
1105,Orlovača /Izlaz/(2244),1.2260521366410585e-06
1022,Usek(947),1.2260521366410585e-06
1229,Mz Ledine(2651),1.2260521366410585e-06
763,Stojana Aralice(1185),1.1238811252543036e-06
766,Hotel Nacional(1029),1.1238811252543036e-06
648,Braće Baruh(72),1.1238811252543036e-06
878,Miloša Pocerca(936),1.1238811252543036e-06
1131,Babin Lug(1549),1.0898241214587186e-06
407,Studentska(1117),1.0285215146266658e-06
408,Bulevar Zorana Đinđića(1095),1.0217101138675488e-06
876,Petlja Radnička(3026),1.0217101138675488e-06
1090,Savski Most(3127),1.0217101138675488e-06
676,Fontana(1084),1.0217101138675488e-06
1333,Železnička Stanica Zemun(818),1.0217101138675488e-06
920,Kontaktor(977),1.0217101138675488e-06
722,Jkp Zelenilo Beograd(1031),1.0217101138675488e-06
748,Blok 29(1096),1.0217101138675488e-06
80,Oš Vasa Čarapić(2171),1.0217101138675488e-06
1403,Srednji Prnjavor(2425),1.0217101138675488e-06
892,Grčića Milenka(231),1.0217101138675488e-06
59,Riste Stefanovića(1601),1.0217101138675488e-06
903,Kontaktor(976),1.0217101138675488e-06
1345,Železnička Rampa(1659),1.0217101138675488e-06
1266,Deponija(1641),1.0217101138675488e-06
697,Filipa Višnjića(422),1.0217101138675488e-06
733,Nedeljka Gvozdenovića(927),1.0217101138675488e-06
578,Mirijevo(2448),1.0217101138675488e-06
931,Neimar(545),1.0217101138675488e-06
1125,Hladnjača Pkb(1458),1.0217101138675488e-06
567,Pogon Karaburma(2564),1.0217101138675488e-06
584,Žel. St. Dunav -Okretnica(709),1.0217101138675488e-06
565,Stevana Hristića(339),1.0217101138675488e-06
585,Klanički Kej(719),1.0217101138675488e-06
1165,Rimski Kanal(1785),1.0217101138675488e-06
981,Železnička Tehnička Stanica(2430),1.0217101138675488e-06
980,Branko Plećaš(327),1.0217101138675488e-06
977,Branko Plećaš(328),1.0217101138675488e-06
974,Kineski Tržni Centar(2754),1.0217101138675488e-06
205,Banjica 2(1600),1.0217101138675488e-06
201,Pošta(2892),1.0217101138675488e-06
839,Bele Vode(1039),1.0217101138675488e-06
288,Teodora Drajzera(2415),1.0217101138675488e-06
1315,Put Za Milovanoviće(2005),1.0217101138675488e-06
292,Kanarevo Brdo /Dom Zdravlja/(938),1.0217101138675488e-06
534,Studentski Grad(1182),1.0217101138675488e-06
1268,Usek(948),1.0217101138675488e-06
350,Bože Jeremića(3042),1.0217101138675488e-06
757,Imt(1126),1.0217101138675488e-06
1324,Železnička Stanica Zemun(819),1.0217101138675488e-06
1061,Dom Zdravlja(2160),1.0217101138675488e-06
229,Stratimirovićeva(641),1.0217101138675488e-06
1058,13. Maj /Ulaz/(236),1.0217101138675488e-06
861,Bele Vode(1040),1.0217101138675488e-06
637,Koste Živkovića(1229),1.0217101138675488e-06
1318,Železnička Stanica Ripanj(2004),1.0217101138675488e-06
296,Peta Ekonomska(491),1.0217101138675488e-06
953,Beranska(679),1.0217101138675488e-06
940,Batutova(96),1.0217101138675488e-06
843,Banovo Brdo(2129),9.535961062763787e-07
3,Trg Slavija /Tiršova/(3147),9.195391024807939e-07
712,Ustanička(906),9.195391024807939e-07
518,Ruska(498),9.195391024807939e-07
840,Vodovodska(1000),9.195391024807939e-07
720,Peđe Milosavljevića(225),9.195391024807939e-07
609,Rk Beograd(412),8.854820986852091e-07
138,Vukov Spomenik /Bul.Kralja Aleksa./(86),8.854820986852089e-07
703,Palata Pravde(2496),8.514250948896241e-07
999,Milana Rakića(2291),8.173680910940391e-07
1028,Batajnica (Ulaz)(1169),8.173680910940391e-07
203,Podavalska (Izlaz)(2887),8.173680910940391e-07
1153,Put Za Institut(1440),8.173680910940391e-07
1156,Filipa Kljajića(1442),8.173680910940391e-07
210,Pet Solitera(857),8.173680910940391e-07
908,Pijaca(467),8.173680910940391e-07
212,Trošarina(909),8.173680910940391e-07
1159,Hotel Radmilovac(1448),8.173680910940391e-07
813,Makiška(1976),8.173680910940391e-07
998,Milana Rakića(2284),8.173680910940391e-07
990,Oš Stevan Sinđelić(3166),8.173680910940391e-07
989,Mz Vml(1572),8.173680910940391e-07
569,Rospi Ćuprija(663),8.173680910940391e-07
1301,Slovački Dom(1821),8.173680910940391e-07
984,Buljubašine Vode(2080),8.173680910940391e-07
1170,Žička(3121),8.173680910940391e-07
237,Bulevar Kneza Aleksandra Karađorđevića(1043),8.173680910940391e-07
239,Cvijićeva(839),8.173680910940391e-07
547,Katarine Ivanović(645),8.173680910940391e-07
1241,Aerodrom Nikola Tesla(1045),8.173680910940391e-07
424,Milutina Milankovića(801),8.173680910940391e-07
1385,17. Oktobra(1751),8.173680910940391e-07
1076,Marina(666),8.173680910940391e-07
1109,Prvomajska(2341),8.173680910940391e-07
1258,Mz Resnik(2889),8.173680910940391e-07
1111,Milorada Živkovića(3088),8.173680910940391e-07
24,Dušanovac /Pošta/(386),8.173680910940391e-07
673,Prve Pruge - Retenzija(407),8.173680910940391e-07
69,Kružni Put(1615),8.173680910940391e-07
744,Podvožnjak(246),8.173680910940391e-07
78,Put Za Beli Potok(1630),8.173680910940391e-07
81,1000 Ruža(3889),8.173680910940391e-07
1074,Trudbenička(1402),8.173680910940391e-07
615,Jaše Prodanovića(241),8.173680910940391e-07
1397,Sajam(18),8.173680910940391e-07
1071,Put Za Kovilovo(1283),8.173680910940391e-07
1395,Sajam(19),8.173680910940391e-07
1066,Kovilovo 1(1353),8.173680910940391e-07
1391,Vareška(3696),8.173680910940391e-07
1064,Put Za Jabučki Rit(1286),8.173680910940391e-07
97,Sime Trojanovića(617),8.173680910940391e-07
1276,Deponija(1640),8.173680910940391e-07
633,Kanarevo Brdo(868),8.173680910940391e-07
546,Ignjata Joba(592),8.173680910940391e-07
554,Servisi(2414),8.173680910940391e-07
877,Dom Garde(2689),8.173680910940391e-07
857,Ace Joksimovića(727),8.173680910940391e-07
1330,Zrenjaninski Put(1350),8.173680910940391e-07
360,Zadrugarska(1223),8.173680910940391e-07
1348,Sare Bernar(1665),8.173680910940391e-07
851,Valjevska(1003),8.173680910940391e-07
483,Veliki Mokri Lug (Izlaz)(2247),8.173680910940391e-07
890,Učiteljsko Naselje(487),8.173680910940391e-07
299,Milana Blagojevića Španca(2417),8.173680910940391e-07
470,Oš Danilo Kiš(2730),8.173680910940391e-07
945,Kumodraž 1(695),8.173680910940391e-07
875,Gp Rad(1063),8.173680910940391e-07
900,Blok 42(554),8.173680910940391e-07
915,Ivo Lola Ribar(961),8.173680910940391e-07
899,Ostružnica 2(963),8.173680910940391e-07
209,Plivalište Banjica(287),7.662825854006616e-07
614,Studentski Trg(3032),7.151970797072841e-07
647,Bulevar Despota Stefana(57),7.151970797072841e-07
1219,Jaše Prodanovića(242),7.151970797072841e-07
1248,Dobanovačka Petlja(2251),7.151970797072841e-07
587,Despota Đurđa(2112),6.811400759116992e-07
943,Voždovac(169),6.811400759116992e-07
1271,Slavka Rodića(3694),6.470830721161142e-07
1376,Pavićevac 2(2821),6.130260683205292e-07
494,Vitanovačka(446),6.130260683205292e-07
325,Ratka Mitrovića(519),6.130260683205292e-07
101,Triglavska(611),6.130260683205292e-07
1388,Stojana Jankovića(1745),6.130260683205292e-07
1048,Mihajla Šolohova(1244),6.130260683205292e-07
771,Jurija Gagarina(1109),6.130260683205292e-07
1377,Timočki Put 1.Deo(2979),6.130260683205292e-07
1242,Dobanovci /Ulaz/(1825),6.130260683205292e-07
1368,Ladne Vode(2557),6.130260683205292e-07
161,Tašmajdan(537),6.130260683205292e-07
1349,Đure Jakšića(2593),6.130260683205292e-07
500,Maksima Gorkog(826),6.130260683205292e-07
279,Astronomska(612),6.130260683205292e-07
1137,Prvomajska(2771),6.130260683205292e-07
31,Kralja Vladimira(157),6.130260683205292e-07
913,Svete Milutinovića(2225),6.130260683205292e-07
1102,Ugrinovački Put 26. Deo(2706),6.130260683205292e-07
1259,Brestovačka(3083),6.130260683205292e-07
1409,Pavićevac 3(2799),6.130260683205292e-07
693,Ruska(423),6.130260683205292e-07
1096,Polimark(2739),6.130260683205292e-07
1095,Slavka Šlandera(1052),6.130260683205292e-07
1094,Rk Beograđanka(113),6.130260683205292e-07
1257,Kamenac(892),6.130260683205292e-07
897,Strugarska(1125),6.130260683205292e-07
1059,Milice Šuvaković(1891),6.130260683205292e-07
894,Marčanska(227),6.130260683205292e-07
745,Zdravka Čelara(244),6.130260683205292e-07
1249,Marka Ristića(2099),6.130260683205292e-07
1400,Raskrsnica-Vrčin(2397),6.130260683205292e-07
381,Kbc Zemun(313),6.130260683205292e-07
1343,Novo Naselje(3059),6.130260683205292e-07
659,Jovana Bijelića(595),6.130260683205292e-07
941,Zvečanska(152),6.130260683205292e-07
1062,Jovana Mikića(2377),6.130260683205292e-07
1026,Milorada Živkovića(3089),6.130260683205292e-07
194,Avala(1622),6.130260683205292e-07
992,Tranšped(2914),6.130260683205292e-07
799,Jurija Gagarina(1108),6.130260683205292e-07
557,Salvadora Aljendea(336),6.130260683205292e-07
233,Bože Jankovića(156),6.130260683205292e-07
1169,Krušedolska(1781),6.130260683205292e-07
1292,Pumpa(2870),6.130260683205292e-07
1161,Vojina Jugovića(3128),6.130260683205292e-07
1361,Svetosavska(1513),6.130260683205292e-07
294,Slavoljuba Vuksanovića(899),6.130260683205292e-07
1008,Vitezova Karađorđeve Zvezde(476),6.130260683205292e-07
850,Vodovodska(1001),6.130260683205292e-07
570,Patrisa Lumumbe(343),6.130260683205292e-07
988,Lipovačka(1571),6.130260683205292e-07
1358,Suva Česma(1471),6.130260683205292e-07
533,Kbc Zemun(314),6.130260683205292e-07
1233,Resnički Put(3046),6.130260683205292e-07
577,Mirijevo 2(629),6.130260683205292e-07
556,Blok Braća Marić(1382),6.130260683205292e-07
827,Bas(3757),6.130260683205292e-07
1308,Novobeogradskih Graditelja(2998),6.130260683205292e-07
965,Kosovopoljska(2155),6.130260683205292e-07
1285,Beogradelektro(1970),6.130260683205292e-07
542,Pukovnika Petra Mišića(2595),6.130260683205292e-07
1310,Pop Stojanova(93),6.130260683205292e-07
793,Novi Beograd (Ušće)(2847),6.130260683205292e-07
1019,Oš Stevan Sinđelić(3167),6.130260683205292e-07
1374,Rašin Majdan(2008),6.130260683205292e-07
257,Tašmajdan(112),6.130260683205292e-07
1017,Medaković 2(3022),6.130260683205292e-07
539,Put Za Kumodraško Groblje(576),6.130260683205292e-07
524,Tehnička Škola Novi Beograd(796),6.130260683205292e-07
829,Železnička Stanica Topčider(2451),6.130260683205292e-07
1289,Pećani(1981),6.130260683205292e-07
1282,Resnik (Železnička Pruga)(2982),6.130260683205292e-07
1275,Slavka Rodića(2463),5.789690645249443e-07
1132,Zdravstvena St. Leštane I Vinča(1454),5.789690645249442e-07
1044,Pupin Telekom(2839),5.449120607293593e-07
681,Karađorđev Trg(1227),5.108550569337744e-07
60,Paunova(289),5.108550569337744e-07
1201,Ledine(1756),5.108550569337744e-07
789,Dom Zdravlja Blok 44(1146),5.108550569337744e-07
627,Bože Jeremića(3041),5.108550569337744e-07
764,Sc 11. April(1183),5.108550569337744e-07
626,Sretena Mladenovića Mike(3040),5.108550569337744e-07
1133,Boleč Raskršće(1457),5.108550569337744e-07
767,Zelengorska(1195),5.108550569337744e-07
301,Stanka Paunovića(871),5.108550569337744e-07
590,Luka Beograd(712),5.108550569337744e-07
677,Novi Beograd /Paviljoni/(378),5.023408059848781e-07
656,Dorćol /Kneginje Ljubice/(52),4.4274104934260444e-07
1384,Sretena Mladenovića(1753),4.0868404554701953e-07
1213,Put Za Src(3039),4.0868404554701953e-07
1108,Petlovo Brdo(950),4.0868404554701953e-07
1155,Narodnog Fronta(1566),4.0868404554701953e-07
1365,Šumareva Kuća(2033),4.0868404554701953e-07
1287,Mz Ostružnica(2164),4.0868404554701953e-07
1350,Gorica(1387),4.0868404554701953e-07
