,index,BC_lovain
170,Rk Beograđanka(198),1.277137642334436e-05
253,Zeleni Venac(1049),1.2567034400570849e-05
934,Dr Velizara Kosanovića(100),1.243080638538851e-05
14,Rk Beograđanka(197),1.2260521366410586e-05
513,Železnik R(1980),1.2260521366410586e-05
511,Ada Ciganlija(502),1.2257115666031028e-05
336,Toplana(526),1.2124293351228245e-05
772,Gandijeva(790),1.2056179343637075e-05
7,Južni Bulevar(390),1.2056179343637075e-05
386,Narodnih Heroja(1004),1.181778031706798e-05
431,Durmitorska(2498),1.1783723313272396e-05
157,Maksima Gorkog(825),1.174966630947681e-05
516,Put Za Železnik(1931),1.1647495298090055e-05
328,Ulica Oslobođenja (942),1.147721027911213e-05
219,Trg Oslobođenja(452),1.1443153275316546e-05
687,Bolnica(3113),1.1375039267725375e-05
416,Bežanijska Kosa(1852),1.1306925260134206e-05
307,Janković Stojana(735),1.1238811252543036e-05
418,Beogradska Arena /Antifašističke Borbe/(387),1.1136640241156281e-05
346,Kneževac(1011),1.1034469229769526e-05
686,Elektronska Industrija(1160),1.08641842107916e-05
617,Labudovo Brdo(1014),1.0830127206996016e-05
414,Beogradska Arena(434),1.0727956195609262e-05
351,Kružni Put(2298),1.0625785184222507e-05
758,Dr Huga Klajna(1189),1.0625785184222507e-05
713,Mite Ružića(479),1.0591728180426922e-05
132,Vukov Spomenik(64),1.0469122966762816e-05
338,Labudovo Brdo(1013),1.0421443161448999e-05
1085,Nedeljka Gvozdenovića(1141),1.0421443161448997e-05
388,Tošin Bunar(1754),1.0387386157653411e-05
715,Bežanijska Kosa (Ulaz)(1204),1.0319272150062242e-05
1084,Surčinska(1140),1.0217101138675487e-05
280,Žs Pančevački Most(2113),1.0183044134879903e-05
129,Vukov Spomenik(63),1.0176232734120786e-05
139,Glavna Pošta(535),1.0173070298054054e-05
371,Fontana(456),1.0097901625390942e-05
155,Pionirski Park(704),1.0058736071026017e-05
23,Terazije(195),9.931022306792574e-06
443,Svetolika Lazarevića Laze(966),9.808417093128468e-06
352,Naselje Vinogradi(2136),9.808417093128468e-06
510,Svetolika Lazarevića Laze(967),9.808417093128468e-06
1080,Blok 61(1150),9.706246081741713e-06
332,Pilota Mihajla Petrovića(732),9.706246081741713e-06
46,Paunova(855),9.570018066559375e-06
695,Elektronska Industrija(1161),9.570018066559374e-06
181,Bulevar Despota Stefana(56),9.559800965420699e-06
318,Železnička Stanica Rakovica(1385),9.467847055172619e-06
795,Omladinskih Brigada(795),9.399733047581448e-06
724,Oš Gavrilo Princip(329),9.195391024807939e-06
95,Dr Velizara Kosanovića(101),9.195391024807939e-06
768,Oš Gavrilo Princip(330),9.195391024807939e-06
685,Preduzeće Galenika Magmasil(1156),9.195391024807939e-06
404,Španskih Boraca(366),9.195391024807939e-06
267,Brankov Most(8),9.093220013421184e-06
477,Medaković 2(260),8.991049002034429e-06
773,Blok 70(792),8.991049002034429e-06
716,Dr Huga Klajna(1190),8.991049002034429e-06
362,Banatska(2523),8.991049002034429e-06
55,Voždovac(705),8.888877990647674e-06
397,Bulevar Zorana Đinđića(402),8.87525518912944e-06
242,Palata Pravde(14),8.78670697926092e-06
238,Novopazarska(202),8.78670697926092e-06
51,Pere Velimirovića(864),8.58236495648741e-06
117,Vuka Vrčevića(346),8.58236495648741e-06
394,Blok 30(369),8.58236495648741e-06
455,Petlja Radnička(500),8.514250948896237e-06
611,Nemanjina(912),8.480193945100655e-06
247,Trg Republike(674),8.407701179878624e-06
62,Pere Velimirovića(863),8.3780229337139e-06
77,Beli Potok /Kumbara/(1618),8.3780229337139e-06
778,Blok 70(793),8.3780229337139e-06
1122,Zdravstvena St. Leštane I Vinča(1455),8.3780229337139e-06
571,Pančevački Most(348),8.3780229337139e-06
399,Bulevar Maršala Tolbuhina(374),8.309908926122731e-06
112,Omladinski Stadion(76),8.275851922327145e-06
306,Pilota Mihajla Petrovića(1265),8.275851922327145e-06
517,Gospodarska Mehana(499),8.241794918531559e-06
383,Arhiv(371),8.234983517772443e-06
661,Petrinjska(220),8.224766416633768e-06
718,Novo Bežanijsko Groblje(2525),8.17368091094039e-06
562,Rospi Ćuprija(664),8.17368091094039e-06
159,Zdravka Čelara(243),8.17368091094039e-06
378,Bežanijska Kosa(1853),8.139623907144806e-06
1086,Nedeljka Gvozdenovića(1142),8.071509899553635e-06
377,Milutina Milankovića(1181),8.003395891962465e-06
473,Medaković 2(261),7.96933888816688e-06
54,Voždovac-Okretnica(1597),7.96933888816688e-06
936,Mite Ružića(102),7.96933888816688e-06
206,Paunova(856),7.918253382473502e-06
694,Bolnica(3114),7.867167876780127e-06
1083,Blok 61(1151),7.867167876780126e-06
322,Mz Vidikovac(523),7.867167876780126e-06
721,Bežanijska Kosa /Groblje/(1193),7.867167876780126e-06
608,Savski Park(3105),7.83311087298454e-06
588,27. Marta(240),7.813163199332842e-06
910,Nićiforovićeva(1658),7.76499686539337e-06
732,Novosadski Put(2428),7.76499686539337e-06
845,Žarkovo(725),7.76499686539337e-06
770,Novosadski Put(2427),7.76499686539337e-06
189,Šest Kaplara(362),7.74796836349558e-06
760,Bežanijska Kosa (Izlaz)(1191),7.662825854006616e-06
109,"Vmc ""Karaburma""(155)",7.662825854006616e-06
26,Katanićeva(201),7.662825854006616e-06
349,Novo Naselje /Rušanj/(1697),7.560654842619861e-06
1038,Put Za 13. Maj(1162),7.560654842619861e-06
134,Mašinski Fakultet(85),7.5197864380651586e-06
842,Mz Čukarička Padina(971),7.458483831233106e-06
832,Kneza Višeslava(180),7.356312819846351e-06
72,Pošta(1619),7.356312819846351e-06
223,Deligradska(393),7.356312819846351e-06
353,Novo Naselje (Rušanj)(2757),7.356312819846351e-06
331,Vidikovački Venac(525),7.2541418084595964e-06
173,Trg Republike(603),7.176053964042576e-06
290,Srpskih Udarnih Brigada(865),7.151970797072842e-06
497,Miška Jovanovića(588),7.151970797072842e-06
266,Palata Pravde(15),7.151970797072842e-06
50,Kragujevačkih Đaka(294),7.151970797072842e-06
265,Glavna Pošta(266),6.988497178854034e-06
754,Bulevar Umetnosti(2324),6.947628774299332e-06
797,Bulevar Crvene Armije(2672),6.947628774299332e-06
356,Ilije Miličevića(1700),6.947628774299332e-06
53,Milića Marinovića(676),6.947628774299332e-06
330,Vidikovački Venac(524),6.743286751525822e-06
599,Ušće(299),6.743286751525822e-06
222,Pravni Fakultet(66),6.743286751525822e-06
1178,Robni Terminal(1032),6.743286751525822e-06
255,Železnička Stanica Beograd Centar(273),6.743286751525822e-06
1245,Dobanovci /Ulaz/(1826),6.743286751525822e-06
363,Groblje Zbeg(2212),6.743286751525822e-06
179,Trg Republike(194),6.683686994883547e-06
607,Savski Trg(1218),6.6751727439346525e-06
274,Cvijićeva(354),6.658144242036859e-06
387,Železnička Stanica Tošin Bunar(1122),6.5389447287523125e-06
226,Dom Zdravlja Voždovac(388),6.5389447287523125e-06
329,Kneževac(944),6.5389447287523125e-06
40,Kneza Miloša(1216),6.5389447287523125e-06
809,Škola Josif Pančić(181),6.470830721161142e-06
1186,Biodekor(1042),6.436773717365558e-06
1120,Boleč Raskršće(1456),6.334602705978803e-06
1000,Prvomajska(1565),6.334602705978803e-06
937,Pijaca Zvezdara(98),6.334602705978803e-06
76,Put Za Beli Potok(1631),6.334602705978803e-06
696,Galenika (1231),6.334602705978803e-06
848,Julino Brdo(1036),6.198374690796463e-06
826,Careva Ćuprija(3700),6.198374690796463e-06
837,Julino Brdo(1035),6.198374690796463e-06
887,Dr Velizara Kosanovića(489),6.1813461888986705e-06
281,27. Marta(239),6.147289185103084e-06
412,Beogradska Arena(376),6.130260683205293e-06
726,Novo Bežanijsko Groblje(2524),6.130260683205293e-06
792,Bulevar Crvene Armije(2671),6.130260683205293e-06
1181,Robni Terminal(1082),6.130260683205293e-06
63,Bulevar Peka Dapčevića(908),6.130260683205293e-06
380,Pariske  Komune(459),6.130260683205293e-06
537,Groblje Zbeg(2213),6.130260683205293e-06
71,Put Za Beli Potok(3037),6.130260683205293e-06
314,Ulica Oslobođenja (941),6.1132321813075e-06
44,Baštovanska(291),5.994032668022953e-06
191,Trg Republike(532),5.956569963847809e-06
476,Svetozara Radojčića(262),5.9259186604317825e-06
315,Kneževac(943),5.9259186604317825e-06
729,Bežanijska Kosa /Grčka/(60),5.9259186604317825e-06
602,Staro Sajmište(117),5.891861656636198e-06
261,Džordža Vašingtona(356),5.7337398532995535e-06
595,Brankov Most(297),5.721576637658273e-06
1087,Dušana Vukasovića(1138),5.721576637658273e-06
564,Mirijevski Bulevar(662),5.721576637658273e-06
1177,Jat Tehnika(2735),5.721576637658273e-06
196,Put Za Beli Potok(3038),5.721576637658273e-06
852,Mz Čukarička Padina(970),5.619405626271518e-06
756,Nikole Dobrovića(1202),5.619405626271518e-06
1142,Nine Kirsanove(1435),5.517234614884763e-06
865,Obalskih Radnika(969),5.517234614884763e-06
214,Sc Sport Eko(437),5.517234614884763e-06
70,Beli Potok /Kumbara/(1617),5.517234614884763e-06
366,Paviljoni(462),5.517234614884763e-06
985,Ristin Potok(2834),5.517234614884763e-06
621,Ilije Miličevića(1699),5.517234614884763e-06
496,Dušanovac /Pošta/(562),5.517234614884763e-06
421,Antifašističke Borbe(332),5.4491206072935934e-06
432,Milentija Popovića(301),5.4491206072935934e-06
1189,Biodekor(2290),5.312892592111253e-06
313,Janković Stojana(734),5.312892592111253e-06
545,Dušanovac /Pošta/(643),5.312892592111253e-06
124,"Blok ""Branko Momirov""(767)",5.312892592111253e-06
359,Trebež(2411),5.312892592111253e-06
459,Železnička Stanica Bgd Centar(1041),5.312892592111253e-06
448,Src Makiš(687),5.312892592111253e-06
275,Železnička Stanica Dunav(836),5.312892592111253e-06
668,Bačvanska(229),5.312892592111253e-06
1180,Jat Tehnika(2736),5.312892592111253e-06
807,Kula Beograd(3107),5.312892592111253e-06
409,Omladinskih Brigada(400),5.268618487176993e-06
811,Obalskih Radnika(968),5.2107215807244985e-06
34,Trg Slavija /Nemanjina/(68),5.176664576928914e-06
158,Trg Slavija /Nemanjina/(67),5.108550569337744e-06
506,Milentija Popovića(302),5.108550569337744e-06
108,Novo Groblje(79),5.108550569337744e-06
45,Kragujevačkih Đaka(293),5.108550569337744e-06
618,Kneževac(1012),5.108550569337744e-06
151,Park Tašmajdan(190),5.107090983460789e-06
